  -380.0         X  0.000159  0.000156  0.000153  0.000149  0.000146     30.960300     29.684000     28.504700     27.414100    26.400100    25.453100    24.564900    23.728900    22.939600    22.192400    21.483200    20.808700    20.166000    19.552400    18.965900   -12.759500   -12.523200   -12.406400   -12.216400   -11.959800   -11.645200   -11.250000   -10.761900   -10.179800    -9.490150    -8.700950    -7.820130    -6.863600    -5.858350   -4.833250   -3.819560   -2.862330   -2.005150   -1.285510   -0.732220  -0.359751 -0.037954 -0.000962 -0.000141
  -378.0         X  0.000161  0.000157  0.000154  0.000151  0.000147     31.231800     29.943700     28.753500     27.652800    26.629600    25.673900    24.777600    23.934100    23.137700    22.383700    21.668100    20.987600    20.339100    19.720100    19.128300   -12.875500   -12.637000   -12.519000   -12.327200   -12.068200   -11.750500   -11.351600   -10.858800   -10.271200    -9.575060    -8.778440    -7.889390    -6.924000    -5.909520   -4.875120   -3.852350   -2.886690   -2.022060   -1.296270   -0.738305  -0.362726 -0.038266 -0.000970 -0.000142
  -376.0         X  0.000162  0.000159  0.000155  0.000152  0.000148     31.506200     30.206100     29.004900     27.894100    26.861400    25.897000    24.992500    24.141300    23.337700    22.577000    21.855000    21.168300    20.514000    19.889400    19.292400   -12.992800   -12.752000   -12.632900   -12.439200   -12.177800   -11.857100   -11.454300   -10.956900   -10.363600    -9.660900    -8.856770    -7.959400    -6.985040    -5.961230   -4.917430   -3.885490   -2.911290   -2.039140   -1.307130   -0.744450  -0.365730 -0.038581 -0.000978 -0.000143
  -374.0         X  0.000163  0.000160  0.000156  0.000153  0.000150     31.783600     30.471300     29.258900     28.137900    27.095800    26.122500    25.209800    24.350800    23.539900    22.772200    22.043700    21.350900    20.690700    20.060500    19.458100   -13.111500   -12.868300   -12.748100   -12.552600   -12.288600   -11.964800   -11.558200   -11.056000   -10.457100    -9.747680    -8.935950    -8.030160    -7.046730    -6.013490   -4.960180   -3.918970   -2.936150   -2.056390   -1.318100   -0.750655  -0.368764 -0.038900 -0.000986 -0.000145
  -372.0         X  0.000165  0.000161  0.000158  0.000154  0.000151     32.063900     30.739400     29.515700     28.384300    27.332500    26.350300    25.429200    24.562400    23.744100    22.969500    22.234400    21.535300    20.869200    20.233400    19.625600   -13.231500   -12.986000   -12.864600   -12.667200   -12.400600   -12.073700   -11.663200   -11.156200   -10.551500    -9.835410    -9.016000    -8.101680    -7.109080    -6.066300   -5.003380   -3.952790   -2.961250   -2.073820   -1.329170   -0.756920  -0.371827 -0.039221 -0.000994 -0.000146
  -370.0         X  0.000166  0.000163  0.000159  0.000156  0.000152     32.347100     31.010200     29.775200     28.633300    27.571800    26.580500    25.651000    24.776300    23.950500    23.168900    22.427100    21.721700    21.049600    20.408000    19.794800   -13.352800   -13.104900   -12.982400   -12.783000   -12.513900   -12.183900   -11.769400   -11.257500   -10.647100    -9.924110    -9.096920    -8.173990    -7.172100    -6.119670   -5.047030   -3.986960   -2.986610   -2.091420   -1.340360   -0.763247  -0.374919 -0.039546 -0.001002 -0.000147
  -368.0         X  0.000168  0.000164  0.000160  0.000157  0.000153     32.633400     31.284000     30.037400     28.884900    27.813600    26.813100    25.875100    24.992300    24.159100    23.370300    22.621800    21.910000    21.231800    20.584500    19.965700   -13.475500   -13.225200   -13.101500   -12.900200   -12.628500   -12.295300   -11.876800   -11.359900   -10.743700   -10.013800    -9.178730    -8.247070    -7.235800    -6.173600   -5.091130   -4.021490   -3.012230   -2.109190   -1.351660   -0.769636  -0.378042 -0.039874 -0.001011 -0.000148
  -366.0         X  0.000169  0.000165  0.000162  0.000158  0.000155     32.922800     31.560700     30.302400     29.139100    28.057900    27.048200    26.101500    25.210700    24.369800    23.573800    22.818500    22.100200    21.415900    20.762700    20.138400   -13.599600   -13.346900   -13.221900   -13.018700   -12.744400   -12.407900   -11.985400   -11.463500   -10.841300   -10.104400    -9.261430    -8.320950    -7.300180    -6.228110   -5.135700   -4.056370   -3.038110   -2.127150   -1.363070   -0.776087  -0.381195 -0.040205 -0.001019 -0.000149
  -364.0         X  0.000170  0.000167  0.000163  0.000159  0.000156     33.215300     31.840300     30.570300     29.396100    28.304800    27.285800    26.330300    25.431300    24.582600    23.779400    23.017200    22.292400    21.601900    20.942800    20.312800   -13.725100   -13.470000   -13.343800   -13.138600   -12.861600   -12.521800   -12.095200   -11.568300   -10.940100   -10.196100    -9.345030    -8.395630    -7.365250    -6.283190   -5.180730   -4.091610   -3.064250   -2.145280   -1.374590   -0.782602  -0.384378 -0.040539 -0.001028 -0.000151
  -362.0         X  0.000172  0.000168  0.000164  0.000161  0.000157     33.510900     32.123000     30.841000     29.655800    28.554300    27.525800    26.561500    25.654200    24.797800    23.987100    23.218000    22.486600    21.789800    21.124800    20.489100   -13.852100   -13.594400   -13.467000   -13.259800   -12.980100   -12.637000   -12.206200   -11.674200   -11.039900   -10.288800    -9.429560    -8.471120    -7.431020    -6.338860   -5.226230   -4.127210   -3.090660   -2.163600   -1.386220   -0.789179  -0.387593 -0.040876 -0.001036 -0.000152
  -360.0         X  0.000173  0.000169  0.000166  0.000162  0.000159     33.809700     32.408600     31.114500     29.918200    28.806500    27.768400    26.795100    25.879400    25.015100    24.197000    23.420900    22.682800    21.979700    21.308600    20.667200   -13.980500   -13.720300   -13.591600   -13.382400   -13.099900   -12.753500   -12.318500   -11.781300   -11.140900   -10.382500    -9.515010    -8.547430    -7.497500    -6.395120   -5.272210   -4.163180   -3.117330   -2.182090   -1.397970   -0.795821  -0.390838 -0.041217 -0.001045 -0.000153
  -358.0         X  0.000175  0.000171  0.000167  0.000163  0.000160     34.111600     32.697300     31.391000     30.183400    29.061300    28.013500    27.031200    26.107000    25.234700    24.409100    23.625800    22.881000    22.171500    21.494300    20.847000   -14.110300   -13.847500   -13.717600   -13.506300   -13.221100   -12.871300   -12.432000   -11.889600   -11.243000   -10.477200    -9.601400    -8.624570    -7.564690    -6.451980   -5.318670   -4.199520   -3.144280   -2.200780   -1.409840   -0.802528  -0.394115 -0.041561 -0.001053 -0.000154
  -356.0         X  0.000176  0.000172  0.000168  0.000165  0.000161     34.416800     32.989000     31.670400     30.451500    29.318800    28.261200    27.269800    26.337000    25.456600    24.623400    23.832900    23.081300    22.365300    21.681900    21.028800   -14.241600   -13.976300   -13.845100   -13.631700   -13.343600   -12.990400   -12.546800   -11.999200   -11.346200   -10.573000    -9.688740    -8.702550    -7.632600    -6.509440   -5.365620   -4.236230   -3.171500   -2.219640   -1.421820   -0.809300  -0.397423 -0.041908 -0.001062 -0.000156
  -354.0         X  0.000178  0.000174  0.000170  0.000166  0.000163     34.725300     33.283900     31.952700     30.722300    29.579000    28.511500    27.510800    26.569400    25.680900    24.840000    24.042200    23.283700    22.561100    21.871500    21.212400   -14.374400   -14.106500   -13.974000   -13.758500   -13.467600   -13.110900   -12.663000   -12.109900   -11.450600   -10.669900    -9.777040    -8.781380    -7.701250    -6.567510   -5.413060   -4.273320   -3.198990   -2.238700   -1.433920   -0.816138  -0.400764 -0.042258 -0.001071 -0.000157
  -352.0         X  0.000179  0.000175  0.000171  0.000168  0.000164     35.037100     33.582000     32.238100     30.996100    29.841900    28.764500    27.754400    26.804200    25.907400    25.058800    24.253600    23.488100    22.758900    22.063000    21.397900   -14.508800   -14.238100   -14.104300   -13.886700   -13.593000   -13.232700   -12.780400   -12.221900   -11.556100   -10.767800    -9.866310    -8.861070    -7.770640    -6.626200   -5.461000   -4.310800   -3.226770   -2.257950   -1.446140   -0.823043  -0.404136 -0.042612 -0.001080 -0.000158
  -350.0         X  0.000181  0.000177  0.000173  0.000169  0.000165     35.352300     33.883200     32.526600     31.272700    30.107700    29.020100    28.000600    27.041500    26.136400    25.279800    24.467200    23.694700    22.958700    22.256500    21.585300   -14.644700   -14.371300   -14.236200   -14.016400   -13.719800   -13.355900   -12.899200   -12.335200   -11.662800   -10.866800    -9.956570    -8.941630    -7.840770    -6.685510   -5.509440   -4.348660   -3.254820   -2.277390   -1.458480   -0.830015  -0.407542 -0.042969 -0.001089 -0.000160
  -348.0         X  0.000182  0.000178  0.000174  0.000170  0.000167     35.670800     34.187600     32.818000     31.552300    30.376200    29.278400    28.249300    27.281200    26.367700    25.503200    24.683100    23.903400    23.160600    22.451900    21.774600   -14.782100   -14.506000   -14.369600   -14.147600   -13.848000   -13.480600   -13.019300   -12.449700   -11.770700   -10.966900   -10.047800    -9.023070    -7.911660    -6.745460   -5.558380   -4.386910   -3.283160   -2.297020   -1.470950   -0.837054  -0.410980 -0.043330 -0.001098 -0.000161
  -346.0         X  0.000184  0.000180  0.000176  0.000172  0.000168     35.992800     34.495300     33.112700     31.834800    30.647600    29.539400    28.500600    27.523500    26.601400    25.728800    24.901100    24.114200    23.364600    22.649400    21.965900   -14.921100   -14.642300   -14.504400   -14.280300   -13.977700   -13.606600   -13.140700   -12.565500   -11.879900   -11.068200   -10.140100    -9.105400    -7.983320    -6.806040   -5.607840   -4.425560   -3.311790   -2.316850   -1.483530   -0.844162  -0.414451 -0.043694 -0.001107 -0.000162
  -344.0         X  0.000185  0.000181  0.000177  0.000173  0.000169     36.318300     34.806400     33.410400     32.120400    30.921900    29.803100    28.754600    27.768300    26.837600    25.956900    25.121400    24.327200    23.570800    22.848900    22.159100   -15.061700   -14.780100   -14.640900   -14.414500   -14.108900   -13.734100   -13.263600   -12.682600   -11.990200   -11.170500   -10.233400    -9.188620    -8.055750    -6.867270   -5.657820   -4.464600   -3.340700   -2.336880   -1.496240   -0.851338  -0.417955 -0.044061 -0.001117 -0.000164
  -342.0         X  0.000187  0.000183  0.000179  0.000175  0.000171     36.647200     35.120700     33.711300     32.409000    31.199000    30.069700    29.011200    28.015600    27.076200    26.187300    25.344100    24.542500    23.779000    23.050500    22.354300   -15.203900   -14.919500   -14.778900   -14.550200   -14.241500   -13.863000   -13.387800   -12.801100   -12.101800   -11.274000   -10.327700    -9.272760    -8.128960    -6.929150   -5.708320   -4.504050   -3.369910   -2.357110   -1.509070   -0.858584  -0.421493 -0.044432 -0.001126 -0.000165
  -340.0         X  0.000188  0.000184  0.000180  0.000176  0.000172     36.979700     35.438400     34.015500     32.700600    31.479100    30.339000    29.270600    28.265600    27.317300    26.420100    25.569000    24.759900    23.989400    23.254100    22.551500   -15.347800   -15.060500   -14.918500   -14.687500   -14.375700   -13.993400   -13.513400   -12.920900   -12.214600   -11.378700   -10.423000    -9.357820    -8.202970    -6.991690   -5.759350   -4.543900   -3.399420   -2.377530   -1.522020   -0.865900  -0.425065 -0.044806 -0.001136 -0.000166
  -338.0         X  0.000190  0.000186  0.000182  0.000178  0.000174     37.315800     35.759500     34.322800     32.995300    31.762200    30.611200    29.532600    28.518100    27.560900    26.655300    25.796200    24.979700    24.201900    23.459900    22.750800   -15.493300   -15.203100   -15.059600   -14.826400   -14.511400   -14.125300   -13.640500   -13.042000   -12.328800   -11.484500   -10.519400    -9.443810    -8.277770    -7.054890   -5.810910   -4.584170   -3.429220   -2.398160   -1.535110   -0.873287  -0.428671 -0.045184 -0.001145 -0.000168
  -336.0         X  0.000191  0.000187  0.000183  0.000179  0.000175     37.655500     36.084100     34.633500     33.293200    32.048200    30.886300    29.797400    28.773300    27.807100    26.892900    26.025800    25.201600    24.416700    23.667700    22.952100   -15.640500   -15.347400   -15.202500   -14.966800   -14.648700   -14.258700   -13.769000   -13.164600   -12.444200   -11.591500   -10.616900    -9.530740    -8.353380    -7.118770   -5.863020   -4.624840   -3.459330   -2.419000   -1.548320   -0.880745  -0.432311 -0.045566 -0.001155 -0.000169
  -334.0         X  0.000193  0.000189  0.000185  0.000181  0.000177     37.998800     36.412100     34.947500     33.594300    32.337300    31.164300    30.065000    29.031200    28.055900    27.133100    26.257800    25.425900    24.633600    23.877700    23.155400   -15.789400   -15.493300   -15.346900   -15.108900   -14.787600   -14.393600   -13.899000   -13.288500   -12.560900   -11.699700   -10.715500    -9.618630    -8.429810    -7.183330   -5.915670   -4.665940   -3.489730   -2.440040   -1.561660   -0.888274  -0.435986 -0.045951 -0.001164 -0.000171
  -332.0         X  0.000195  0.000190  0.000186  0.000182  0.000178     38.345900     36.743700     35.264800     33.898500    32.629400    31.445200    30.335400    29.291800    28.307200    27.375700    26.492200    25.652500    24.852800    24.089900    23.360800   -15.940000   -15.640900   -15.493000   -15.252600   -14.928000   -14.530100   -14.030500   -13.413800   -12.678900   -11.809200   -10.815100    -9.707480    -8.507070    -7.248580   -5.968870   -4.707460   -3.520450   -2.461290   -1.575130   -0.895876  -0.439697 -0.046340 -0.001174 -0.000172
  -330.0         X  0.000196  0.000192  0.000188  0.000184  0.000180     38.696700     37.078800     35.585500     34.206000    32.924700    31.729000    30.608700    29.555100    28.561100    27.620800    26.729000    25.881400    25.074200    24.304200    23.568400   -16.092400   -15.790200   -15.640900   -15.398000   -15.070100   -14.668100   -14.163500   -13.540500   -12.798200   -11.919800   -10.915900    -9.797300    -8.585160    -7.314520   -6.022630   -4.749400   -3.551470   -2.482750   -1.588730   -0.903551  -0.443442 -0.046732 -0.001184 -0.000174
  -328.0         X  0.000198  0.000194  0.000189  0.000185  0.000181     39.051300     37.417500     35.909600     34.516700    33.223000    32.015800    30.884800    29.821100    28.817700    27.868500    26.968300    26.112700    25.298000    24.520700    23.778000   -16.246500   -15.941300   -15.790400   -15.545000   -15.213800   -14.807700   -14.297900   -13.668700   -12.918900   -12.031700   -11.017700    -9.888110    -8.664100    -7.381160   -6.076950   -4.791780   -3.582810   -2.504420   -1.602470   -0.911299  -0.447223 -0.047129 -0.001194 -0.000175
  -326.0         X  0.000200  0.000195  0.000191  0.000187  0.000183     39.409700     37.759900     36.237200     34.830700    33.524500    32.305700    31.163800    30.089900    29.077000    28.118800    27.210000    26.346400    25.524000    24.739400    23.989800   -16.402500   -16.094100   -15.941600   -15.693800   -15.359200   -14.948900   -14.434000   -13.798400   -13.041000   -12.144800   -11.120700    -9.979920    -8.743890    -7.448510   -6.131840   -4.834590   -3.614460   -2.526300   -1.616330   -0.919121  -0.451039 -0.047528 -0.001204 -0.000177
  -324.0         X  0.000201  0.000197  0.000193  0.000188  0.000184     39.772000     38.105900     36.568300     35.148100    33.829200    32.598600    31.445700    30.361600    29.338900    28.371600    27.454300    26.582500    25.752300    24.960400    24.203800   -16.560200   -16.248700   -16.094600   -15.844200   -15.506200   -15.091800   -14.571600   -13.929500   -13.164500   -12.259200   -11.224900   -10.072700    -8.824550    -7.516590   -6.187310   -4.877840   -3.646430   -2.548400   -1.630330   -0.927018  -0.454892 -0.047932 -0.001215 -0.000178
  -322.0         X  0.000203  0.000199  0.000194  0.000190  0.000186     40.138200     38.455600     36.902900     35.468800    34.137100    32.894600    31.730500    30.636000    29.603600    28.627100    27.701000    26.821000    25.983000    25.183600    24.419900   -16.719800   -16.405000   -16.249400   -15.996400   -15.654900   -15.236300   -14.710700   -14.062100   -13.289300   -12.374900   -11.330200   -10.166600    -8.906080    -7.585380   -6.243350   -4.921530   -3.678720   -2.570720   -1.644470   -0.934990  -0.458781 -0.048339 -0.001225 -0.000180
  -320.0         X  0.000205  0.000200  0.000196  0.000192  0.000187     40.508300     38.809100     37.241100     35.793000    34.448300    33.193700    32.018400    30.913400    29.871100    28.885200    27.950300    27.061900    26.216000    25.409200    24.638300   -16.881200   -16.563200   -16.406000   -16.150400   -15.805400   -15.382400   -14.851500   -14.196300   -13.415600   -12.491900   -11.436700   -10.261400    -8.988490    -7.654910   -6.299980   -4.965670   -3.711330   -2.593260   -1.658740   -0.943038  -0.462706 -0.048750 -0.001235 -0.000181
  -318.0         X  0.000206  0.000202  0.000198  0.000193  0.000189     40.882500     39.166400     37.582900     36.120600    34.762700    33.496000    32.309300    31.193600    30.141300    29.146000    28.202200    27.305400    26.451500    25.637000    24.858900   -17.044500   -16.723200   -16.564400   -16.306200   -15.957600   -15.530200   -14.993900   -14.331900   -13.543300   -12.610300   -11.544400   -10.357300    -9.071790    -7.725180   -6.357200   -5.010260   -3.744270   -2.616020   -1.673150   -0.951162  -0.466668 -0.049165 -0.001246 -0.000183
  -316.0         X  0.000208  0.000204  0.000199  0.000195  0.000191     41.260600     39.527500     37.928400     36.451600    35.080500    33.801400    32.603200    31.476700    30.414300    29.409400    28.456700    27.551300    26.689300    25.867100    25.081700   -17.209700   -16.885100   -16.724600   -16.463700   -16.111600   -15.679800   -15.137900   -14.469100   -13.672400   -12.729900   -11.653200   -10.454300    -9.156000    -7.796190   -6.415020   -5.055300   -3.777540   -2.639000   -1.687700   -0.959363  -0.470668 -0.049584 -0.001256 -0.000184
  -314.0         X  0.000210  0.000205  0.000201  0.000197  0.000192     41.642900     39.892500     38.277500     36.786200    35.401600    34.110000    32.900200    31.762800    30.690100    29.675600    28.713800    27.799800    26.929600    26.099600    25.306700   -17.376900   -17.048900   -16.886800   -16.623100   -16.267300   -15.831100   -15.283600   -14.607900   -13.803000   -12.850900   -11.763300   -10.552300    -9.241110    -7.867960   -6.473440   -5.100810   -3.811140   -2.662200   -1.702380   -0.967641  -0.474704 -0.050007 -0.001267 -0.000186
  -312.0         X  0.000212  0.000207  0.000203  0.000198  0.000194     42.029300     40.261400     38.630400     37.124300    35.726100    34.421900    33.200300    32.051900    30.968800    29.944600    28.973500    28.050800    27.172300    26.334500    25.534100   -17.546000   -17.214600   -17.050800   -16.784400   -16.424800   -15.984100   -15.430900   -14.748300   -13.935100   -12.973200   -11.874600   -10.651400    -9.327150    -7.940490   -6.532470   -5.146780   -3.845080   -2.685630   -1.717210   -0.975997  -0.478778 -0.050433 -0.001278 -0.000187
  -310.0         X  0.000214  0.000209  0.000204  0.000200  0.000196     42.419800     40.634200     38.987000     37.466000    36.054000    34.737000    33.503500    32.343900    31.250400    30.216300    29.235900    28.304400    27.417500    26.571700    25.763800   -17.717100   -17.382200   -17.216700   -16.947500   -16.584200   -16.138900   -15.580000   -14.890300   -14.068700   -13.097000   -11.987100   -10.751600    -9.414120    -8.013800   -6.592110   -5.193210   -3.879350   -2.709290   -1.732180   -0.984431  -0.482890 -0.050863 -0.001289 -0.000189
  -308.0         X  0.000215  0.000211  0.000206  0.000202  0.000197     42.814600     41.011100     39.347400     37.811300    36.385400    35.055500    33.809900    32.639000    31.534900    30.490800    29.501000    28.560500    27.665200    26.811400    25.995800   -17.890200   -17.551800   -17.384500   -17.112500   -16.745500   -16.295500   -15.730700   -15.033900   -14.203800   -13.222100   -12.100900   -10.852900    -9.502030    -8.087880   -6.652370   -5.240120   -3.913970   -2.733180   -1.747290   -0.992944  -0.487040 -0.051298 -0.001300 -0.000190
  -306.0         X  0.000217  0.000212  0.000208  0.000203  0.000199     43.213600     41.391900     39.711600     38.160300    36.720300    35.377200    34.119400    32.937200    31.822400    30.768200    29.768800    28.819300    27.915400    27.053400    26.230100   -18.065300   -17.723400   -17.554300   -17.279500   -16.908600   -16.453900   -15.883300   -15.179200   -14.340500   -13.348700   -12.216000   -10.955300    -9.590890    -8.162750   -6.713260   -5.287510   -3.948920   -2.757300   -1.762550   -1.001540  -0.491228 -0.051736 -0.001311 -0.000192
  -304.0         X  0.000219  0.000214  0.000210  0.000205  0.000201     43.616900     41.776900     40.079800     38.513000    37.058700    35.702400    34.432200    33.238400    32.112800    31.048400    30.039400    29.080700    28.168200    27.298000    26.466800   -18.242500   -17.897000   -17.726100   -17.448400   -17.073600   -16.614100   -16.037500   -15.326100   -14.478700   -13.476600   -12.332400   -11.058900    -9.680710    -8.238410   -6.774780   -5.335370   -3.984220   -2.781650   -1.777940   -1.010210  -0.495454 -0.052178 -0.001322 -0.000194
  -302.0         X  0.000221  0.000216  0.000211  0.000207  0.000202     44.024600     42.166000     40.451800     38.869400    37.400600    36.030900    34.748300    33.542800    32.406200    31.331400    30.312700    29.344800    28.423500    27.545000    26.705900   -18.421800   -18.072600   -17.900000   -17.619300   -17.240500   -16.776200   -16.193600   -15.474700   -14.618500   -13.606000   -12.450000   -11.163500    -9.771500    -8.314870   -6.836940   -5.383720   -4.019870   -2.806240   -1.793490   -1.018960  -0.499719 -0.052624 -0.001333 -0.000195
  -300.0         X  0.000223  0.000218  0.000213  0.000209  0.000204     44.436700     42.559200     40.827800     39.229500    37.746100    36.362900    35.067600    33.850300    32.702600    31.617400    30.588800    29.611600    28.681400    27.794500    26.947400   -18.603200   -18.250300   -18.075800   -17.792200   -17.409400   -16.940200   -16.351500   -15.625000   -14.759900   -13.736900   -12.569000   -11.269400    -9.863280    -8.392140   -6.899740   -5.432560   -4.055880   -2.831060   -1.809180   -1.027790  -0.504023 -0.053074 -0.001344 -0.000197
  -298.0         X  0.000225  0.000220  0.000215  0.000210  0.000206     44.853200     42.956700     41.207800     39.593500    38.095300    36.698300    35.390300    34.161000    33.002100    31.906300    30.867700    29.881100    28.942000    28.046500    27.191300   -18.786700   -18.430100   -18.253800   -17.967100   -17.580300   -17.106100   -16.511100   -15.777100   -14.902900   -13.869300   -12.689300   -11.376400    -9.956040    -8.470230   -6.963190   -5.481890   -4.092230   -2.856120   -1.825010   -1.036710  -0.508366 -0.053529 -0.001356 -0.000199
