Name:A X_Dim:15 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6         7         8         9        10        11        12        13        14        15            16            17            18            19        20        21        22        23        24        25        26        27        28        29        30        31            32            33            34            35            36            37            38            39            40            41            42            43
  -380.0         X  1.216970e-64  7.918740e-65  5.152690e-65  3.352840e-65  2.181690e-65   0.071553   0.044082  0.027973  0.017975  0.011614  0.007523  0.004879  0.003166  0.002056  0.001335  0.000867  5.627810e-04  3.654900e-04  2.373750e-04  1.541750e-04 -0.081573 -0.069814 -0.064694 -0.057172 -0.048344 -0.039212 -0.029871 -0.020934 -0.013215 -0.007193 -0.003231 -0.001121 -2.756530e-04 -4.310700e-05 -3.688260e-06 -1.392560e-07 -1.792900e-09 -5.581850e-12 -2.619590e-15 -9.940790e-20 -1.672680e-25 -2.612020e-44 -2.087270e-75 -1.146550e-91
  -378.0         X  1.230970e-64  8.009860e-65  5.211990e-65  3.391440e-65  2.206810e-65   0.072352   0.044574  0.028285  0.018175  0.011743  0.007607  0.004934  0.003202  0.002078  0.001349  0.000876  5.690500e-04  3.695610e-04  2.400180e-04  1.558910e-04 -0.082484 -0.070594 -0.065416 -0.057810 -0.048884 -0.039650 -0.030205 -0.021168 -0.013362 -0.007273 -0.003267 -0.001134 -2.787230e-04 -4.358680e-05 -3.729280e-06 -1.408040e-07 -1.812830e-09 -5.643890e-12 -2.648730e-15 -1.005160e-19 -1.691400e-25 -2.641710e-44 -2.111800e-75 -1.160280e-91
  -376.0         X  1.245190e-64  8.102390e-65  5.272210e-65  3.430630e-65  2.232320e-65   0.073163   0.045074  0.028602  0.018379  0.011875  0.007692  0.004989  0.003238  0.002102  0.001365  0.000886  5.754150e-04  3.736940e-04  2.427020e-04  1.576340e-04 -0.083409 -0.071385 -0.066149 -0.058458 -0.049432 -0.040095 -0.030543 -0.021405 -0.013512 -0.007355 -0.003303 -0.001146 -2.818400e-04 -4.407380e-05 -3.770920e-06 -1.423750e-07 -1.833050e-09 -5.706870e-12 -2.678320e-15 -1.016410e-19 -1.710400e-25 -2.671860e-44 -2.136710e-75 -1.174220e-91
  -374.0         X  1.259620e-64  8.196360e-65  5.333370e-65  3.470430e-65  2.258220e-65   0.073987   0.045581  0.028924  0.018586  0.012009  0.007779  0.005045  0.003274  0.002125  0.001380  0.000896  5.818760e-04  3.778890e-04  2.454260e-04  1.594030e-04 -0.084347 -0.072189 -0.066894 -0.059117 -0.049988 -0.040546 -0.030887 -0.021646 -0.013664 -0.007437 -0.003340 -0.001159 -2.850030e-04 -4.456820e-05 -3.813190e-06 -1.439700e-07 -1.853580e-09 -5.770800e-12 -2.708350e-15 -1.027830e-19 -1.729690e-25 -2.702480e-44 -2.162010e-75 -1.188380e-91
  -372.0         X  1.274290e-64  8.291790e-65  5.395480e-65  3.510860e-65  2.284530e-65   0.074823   0.046096  0.029251  0.018796  0.012144  0.007867  0.005102  0.003311  0.002149  0.001395  0.000906  5.884360e-04  3.821480e-04  2.481920e-04  1.611990e-04 -0.085301 -0.073005 -0.067650 -0.059785 -0.050553 -0.041004 -0.031236 -0.021890 -0.013818 -0.007521 -0.003378 -0.001172 -2.882150e-04 -4.507010e-05 -3.856110e-06 -1.455900e-07 -1.874430e-09 -5.835700e-12 -2.738830e-15 -1.039430e-19 -1.749270e-25 -2.733560e-44 -2.187720e-75 -1.202780e-91
  -370.0         X  1.289180e-64  8.388710e-65  5.458560e-65  3.551910e-65  2.311250e-65   0.075672   0.046619  0.029583  0.019009  0.012282  0.007956  0.005160  0.003348  0.002174  0.001411  0.000916  5.950960e-04  3.864730e-04  2.510000e-04  1.630220e-04 -0.086268 -0.073833 -0.068418 -0.060463 -0.051126 -0.041469 -0.031590 -0.022139 -0.013975 -0.007607 -0.003416 -0.001186 -2.914760e-04 -4.557970e-05 -3.899680e-06 -1.472340e-07 -1.895590e-09 -5.901590e-12 -2.769780e-15 -1.051200e-19 -1.769150e-25 -2.765130e-44 -2.213830e-75 -1.217410e-91
  -368.0         X  1.304310e-64  8.487160e-65  5.522630e-65  3.593610e-65  2.338390e-65   0.076534   0.047150  0.029920  0.019225  0.012422  0.008046  0.005218  0.003386  0.002198  0.001427  0.000927  6.018580e-04  3.908640e-04  2.538510e-04  1.648740e-04 -0.087251 -0.074674 -0.069197 -0.061152 -0.051709 -0.041942 -0.031950 -0.022391 -0.014134 -0.007693 -0.003455 -0.001199 -2.947880e-04 -4.609710e-05 -3.943920e-06 -1.489030e-07 -1.917070e-09 -5.968490e-12 -2.801210e-15 -1.063150e-19 -1.789330e-25 -2.797190e-44 -2.240360e-75 -1.232270e-91
  -366.0         X  1.319670e-64  8.587160e-65  5.587720e-65  3.635970e-65  2.365960e-65   0.077409   0.047690  0.030262  0.019445  0.012564  0.008138  0.005278  0.003425  0.002223  0.001444  0.000937  6.087250e-04  3.953220e-04  2.567460e-04  1.667540e-04 -0.088249 -0.075528 -0.069989 -0.061851 -0.052300 -0.042421 -0.032315 -0.022647 -0.014295 -0.007781 -0.003495 -0.001213 -2.981500e-04 -4.662250e-05 -3.988830e-06 -1.505980e-07 -1.938880e-09 -6.036410e-12 -2.833120e-15 -1.075280e-19 -1.809830e-25 -2.829750e-44 -2.267320e-75 -1.247380e-91
  -364.0         X  1.335280e-64  8.688740e-65  5.653830e-65  3.679000e-65  2.393960e-65   0.078298   0.048237  0.030610  0.019668  0.012708  0.008231  0.005339  0.003464  0.002249  0.001460  0.000948  6.156980e-04  3.998500e-04  2.596860e-04  1.686630e-04 -0.089262 -0.076396 -0.070792 -0.062562 -0.052901 -0.042909 -0.032687 -0.022907 -0.014460 -0.007870 -0.003535 -0.001227 -3.015640e-04 -4.715600e-05 -4.034450e-06 -1.523190e-07 -1.961030e-09 -6.105380e-12 -2.865510e-15 -1.087600e-19 -1.830650e-25 -2.862820e-44 -2.294710e-75 -1.262730e-91
  -362.0         X  1.351140e-64  8.791940e-65  5.721000e-65  3.722710e-65  2.422410e-65   0.079201   0.048794  0.030962  0.019895  0.012854  0.008326  0.005400  0.003504  0.002275  0.001477  0.000959  6.227790e-04  4.044470e-04  2.626710e-04  1.706020e-04 -0.090292 -0.077276 -0.071609 -0.063283 -0.053511 -0.043403 -0.033063 -0.023171 -0.014626 -0.007961 -0.003575 -0.001241 -3.050310e-04 -4.769780e-05 -4.080770e-06 -1.540670e-07 -1.983530e-09 -6.175410e-12 -2.898410e-15 -1.100120e-19 -1.851780e-25 -2.896410e-44 -2.322550e-75 -1.278340e-91
