Name:A X_Dim:60 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36            37            38            39            40            41            42            43
  -380.0         X  5.792390e-22  5.203980e-22  4.675340e-22  4.200420e-22  3.773740e-22    1.211570    1.049830    0.915320    0.802192    0.705837    0.622975    0.551184    0.488624    0.433856   0.385732   0.343319   0.305849   0.272678   0.243263   0.217142  -1.058310  -1.010700  -0.987674  -0.950929  -0.902649  -0.845431  -0.776529  -0.695715  -0.605187  -0.505827  -0.402412 -0.300181 -0.205708 -0.126153 -0.066666 -0.028747 -0.009478 -2.192410e-03 -3.163250e-04 -2.438900e-05 -8.661280e-07 -1.705320e-11 -2.965940e-19 -2.625510e-23
  -378.0         X  5.849860e-22  5.255610e-22  4.721730e-22  4.242090e-22  3.811180e-22    1.224710    1.061190    0.925206    0.810840    0.713433    0.629668    0.557096    0.493856    0.438495   0.389850   0.346980   0.309106   0.275578   0.245847   0.219446  -1.069840  -1.021710  -0.998423  -0.961273  -0.912461  -0.854613  -0.784954  -0.703252  -0.611729  -0.511282  -0.406738 -0.303396 -0.207901 -0.127491 -0.067369 -0.029049 -0.009577 -2.215070e-03 -3.195700e-04 -2.463730e-05 -8.748830e-07 -1.722330e-11 -2.995340e-19 -2.651540e-23
  -376.0         X  5.908080e-22  5.307920e-22  4.768720e-22  4.284310e-22  3.849110e-22    1.238030    1.072720    0.935236    0.819614    0.721139    0.636458    0.563094    0.499165    0.443201   0.394028   0.350694   0.312410   0.278519   0.248468   0.221783  -1.081540  -1.032870  -1.009330  -0.971771  -0.922419  -0.863932  -0.793503  -0.710899  -0.618368  -0.516817  -0.411127 -0.306657 -0.210126 -0.128848 -0.068083 -0.029354 -0.009677 -2.238040e-03 -3.228600e-04 -2.488900e-05 -8.837570e-07 -1.739570e-11 -3.025130e-19 -2.677920e-23
  -374.0         X  5.967070e-22  5.360910e-22  4.816330e-22  4.327080e-22  3.887540e-22    1.251560    1.084410    0.945414    0.828517    0.728959    0.643347    0.569178    0.504550    0.447975   0.398267   0.354461   0.315761   0.281504   0.251127   0.224153  -1.093410  -1.044200  -1.020400  -0.982423  -0.932524  -0.873388  -0.802178  -0.718659  -0.625105  -0.522432  -0.415580 -0.309966 -0.212383 -0.130225 -0.068806 -0.029664 -0.009778 -2.261330e-03 -3.261950e-04 -2.514420e-05 -8.927510e-07 -1.757040e-11 -3.055310e-19 -2.704640e-23
  -372.0         X  6.026830e-22  5.414600e-22  4.864570e-22  4.370420e-22  3.926470e-22    1.265280    1.096280    0.955742    0.837551    0.736893    0.650337    0.575353    0.510015    0.452819   0.402567   0.358283   0.319161   0.284531   0.253824   0.226558  -1.105460  -1.055700  -1.031640  -0.993235  -0.942779  -0.882984  -0.810982  -0.726534  -0.631941  -0.528131  -0.420099 -0.313323 -0.214673 -0.131621 -0.069539 -0.029978 -0.009881 -2.284950e-03 -3.295770e-04 -2.540290e-05 -9.018680e-07 -1.774740e-11 -3.085880e-19 -2.731710e-23
  -370.0         X  6.087390e-22  5.469000e-22  4.913440e-22  4.414330e-22  3.965920e-22    1.279210    1.108330    0.966223    0.846719    0.744944    0.657430    0.581617    0.515559    0.457735   0.406931   0.362161   0.322611   0.287602   0.256561   0.228998  -1.117690  -1.067370  -1.043040  -1.004210  -0.953187  -0.892723  -0.819916  -0.734525  -0.638878  -0.533914  -0.424684 -0.316729 -0.216996 -0.133038 -0.070284 -0.030297 -0.009985 -2.308900e-03 -3.330050e-04 -2.566510e-05 -9.111090e-07 -1.792680e-11 -3.116860e-19 -2.759130e-23
  -368.0         X  6.148740e-22  5.524130e-22  4.962970e-22  4.458820e-22  4.005890e-22    1.293350    1.120550    0.976860    0.856023    0.753114    0.664628    0.587974    0.521185    0.462722   0.411358   0.366095   0.326111   0.290719   0.259337   0.231473  -1.130100  -1.079220  -1.054610  -1.015340  -0.963752  -0.902609  -0.828984  -0.742637  -0.645918  -0.539782  -0.429336 -0.320186 -0.219353 -0.134476 -0.071039 -0.030620 -0.010091 -2.333190e-03 -3.364810e-04 -2.593100e-05 -9.204770e-07 -1.810860e-11 -3.148250e-19 -2.786920e-23
  -366.0         X  6.210920e-22  5.579980e-22  5.013150e-22  4.503900e-22  4.046390e-22    1.307700    1.132960    0.987656    0.865465    0.761406    0.671932    0.594426    0.526894    0.467783   0.415850   0.370088   0.329663   0.293881   0.262154   0.233984  -1.142700  -1.091250  -1.066360  -1.026650  -0.974475  -0.912642  -0.838189  -0.750869  -0.653064  -0.545738  -0.434058 -0.323694 -0.221745 -0.135934 -0.071804 -0.030948 -0.010198 -2.357830e-03 -3.400070e-04 -2.620050e-05 -9.299730e-07 -1.829290e-11 -3.180050e-19 -2.815070e-23
  -364.0         X  6.273920e-22  5.636580e-22  5.063990e-22  4.549580e-22  4.087430e-22    1.322260    1.145560    0.998613    0.875048    0.769822    0.679346    0.600973    0.532688    0.472919   0.420409   0.374139   0.333267   0.297089   0.265013   0.236532  -1.155490  -1.103450  -1.078290  -1.038120  -0.985359  -0.922827  -0.847532  -0.759225  -0.660317  -0.551783  -0.438851 -0.327253 -0.224172 -0.137414 -0.072582 -0.031281 -0.010307 -2.382810e-03 -3.435810e-04 -2.647380e-05 -9.396000e-07 -1.847960e-11 -3.212280e-19 -2.843590e-23
  -362.0         X  6.337760e-22  5.693940e-22  5.115520e-22  4.595870e-22  4.129020e-22    1.337050    1.158340    1.009740    0.884775    0.778363    0.686870    0.607617    0.538568    0.478131   0.425035   0.378250   0.336924   0.300345   0.267913   0.239118  -1.168480  -1.115850  -1.090390  -1.049770  -0.996409  -0.933167  -0.857016  -0.767708  -0.667679  -0.557919  -0.443715 -0.330866 -0.226635 -0.138916 -0.073370 -0.031619 -0.010418 -2.408150e-03 -3.472060e-04 -2.675100e-05 -9.493610e-07 -1.866890e-11 -3.244930e-19 -2.872500e-23
