Name:A X_Dim:600 Y_Dim:120 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37         38         39            40            41            42            43
  -380.0         X  6.791590e-11  6.438800e-11  6.104330e-11  5.787240e-11  5.486620e-11     13.772200    12.805300    11.930900    11.139200    10.418500     9.759130     9.153440     8.595030     8.078590     7.599660     7.154490     6.739820     6.352890     5.991250     5.652790    -8.621000    -8.405870    -8.299710    -8.127360    -7.895270    -7.611580    -7.256920    -6.821450    -6.306110    -5.701920    -5.020180    -4.274280    -3.487450    -2.695900   -1.941210   -1.269080   -0.729725   -0.353297  -0.135602  -0.038139 -7.290530e-03 -3.345550e-05 -4.573310e-09 -4.363260e-11
  -378.0         X  6.863600e-11  6.507070e-11  6.169060e-11  5.848610e-11  5.544800e-11     13.913000    12.936100    12.052700    11.253000    10.524800     9.858740     9.246850     8.682730     8.161010     7.677200     7.227470     6.808580     6.417700     6.052370     5.710460    -8.709220    -8.491870    -8.384610    -8.210480    -7.976000    -7.689400    -7.331080    -6.891130    -6.370500    -5.760110    -5.071390    -4.317860    -3.522990    -2.723380   -1.961000   -1.282020   -0.737178   -0.356913  -0.136994  -0.038532 -7.365920e-03 -3.380500e-05 -4.621630e-09 -4.409550e-11
  -376.0         X  6.936580e-11  6.576260e-11  6.234650e-11  5.910800e-11  5.603770e-11     14.055500    13.068600    12.176100    11.368100    10.632500     9.959600     9.341440     8.771540     8.244470     7.755710     7.301390     6.878210     6.483330     6.114270     5.768860    -8.798560    -8.578970    -8.470590    -8.294670    -8.057760    -7.768200    -7.406190    -6.961710    -6.435710    -5.819050    -5.123250    -4.361990    -3.558980    -2.751200   -1.981030   -1.295130   -0.744725   -0.360574  -0.138403  -0.038930 -7.442280e-03 -3.415920e-05 -4.670590e-09 -4.456470e-11
  -374.0         X  7.010530e-11  6.646370e-11  6.301130e-11  5.973830e-11  5.663520e-11     14.199900    13.202800    12.301100    11.484800    10.741600    10.061700     9.437230     8.861480     8.329000     7.835220     7.376240     6.948720     6.549790     6.176950     5.828000    -8.889040    -8.667170    -8.557680    -8.379930    -8.140570    -7.848010    -7.482250    -7.033180    -6.501750    -5.878730    -5.175770    -4.406680    -3.595430    -2.779370   -2.001320   -1.308400   -0.752368   -0.364283  -0.139831  -0.039333 -7.519640e-03 -3.451790e-05 -4.720200e-09 -4.504020e-11
  -372.0         X  7.085480e-11  6.717430e-11  6.368510e-11  6.037700e-11  5.724090e-11     14.346100    13.338700    12.427700    11.602900    10.852000    10.165200     9.534250     8.952560     8.414600     7.915740     7.452040     7.020120     6.617100     6.240420     5.887890    -8.980680    -8.756500    -8.645870    -8.466280    -8.224430    -7.928840    -7.559290    -7.105560    -6.568630    -5.939170    -5.228950    -4.451940    -3.632350    -2.807900   -2.021870   -1.321850   -0.760109   -0.368038  -0.141276  -0.039741 -7.598000e-03 -3.488140e-05 -4.770490e-09 -4.552200e-11
  -370.0         X  7.161450e-11  6.789460e-11  6.436790e-11  6.102440e-11  5.785470e-11     14.494100    13.476300    12.555800    11.722500    10.963900    10.270000     9.632490     9.044800     8.501290     7.997290     7.528800     7.092440     6.685260     6.304710     5.948550    -9.073500    -8.846980    -8.735200    -8.553730    -8.309370    -8.010700    -7.637310    -7.178860    -6.636370    -6.000380    -5.282810    -4.497780    -3.669730    -2.836790   -2.042680   -1.335460   -0.767948   -0.371842  -0.142741  -0.040155 -7.677370e-03 -3.524970e-05 -4.821440e-09 -4.601040e-11
  -368.0         X  7.238440e-11  6.862450e-11  6.506000e-11  6.168060e-11  5.847680e-11     14.644100    13.615700    12.685600    11.843700    11.077200    10.376100     9.731990     9.138220     8.589090     8.079880     7.606550     7.165680     6.754290     6.369810     6.009980    -9.167500    -8.938620    -8.825670    -8.642310    -8.395400    -8.093610    -7.716330    -7.253110    -6.704970    -6.062370    -5.337360    -4.544200    -3.707590    -2.866050   -2.063760   -1.349250   -0.775887   -0.375694  -0.144224  -0.040573 -7.757780e-03 -3.562290e-05 -4.873090e-09 -4.650550e-11
  -366.0         X  7.316480e-11  6.936440e-11  6.576150e-11  6.234570e-11  5.910730e-11     14.796000    13.756800    12.817100    11.966400    11.192000    10.483500     9.832770     9.232830     8.678010     8.163520     7.685290     7.239850     6.824210     6.435750     6.072190    -9.262720    -9.031440    -8.917300    -8.732030    -8.482530    -8.177590    -7.796360    -7.328310    -6.774450    -6.125160    -5.392610    -4.591210    -3.745930    -2.895690   -2.085100   -1.363210   -0.783928   -0.379596  -0.145726  -0.040997 -7.839240e-03 -3.600100e-05 -4.925430e-09 -4.700720e-11
  -364.0         X  7.395580e-11  7.011430e-11  6.647250e-11  6.301980e-11  5.974650e-11     14.949800    13.899800    12.950300    12.090700    11.308200    10.592400     9.934830     9.328660     8.768070     8.248230     7.765040     7.314980     6.895020     6.502530     6.135200    -9.359160    -9.125450    -9.010120    -8.822900    -8.570790    -8.262650    -7.877420    -7.404470    -6.844820    -6.188750    -5.448570    -4.638830    -3.784760    -2.925700   -2.106710   -1.377360   -0.792072   -0.383548  -0.147248  -0.041427 -7.921760e-03 -3.638420e-05 -4.978480e-09 -4.751580e-11
  -362.0         X  7.475750e-11  7.087450e-11  6.719320e-11  6.370310e-11  6.039430e-11     15.105600    14.044600    13.085100    12.216600    11.425900    10.702600    10.038200     9.425720     8.859290     8.334040     7.845810     7.391060     6.966740     6.570170     6.199020    -9.456850    -9.220680    -9.104130    -8.914940    -8.660180    -8.348800    -7.959530    -7.481610    -6.916100    -6.253160    -5.505240    -4.687050    -3.824090    -2.956100   -2.128610   -1.391680   -0.800321   -0.387551  -0.148789  -0.041862 -8.005360e-03 -3.677240e-05 -5.032240e-09 -4.803130e-11
