Name:A X_Dim:600 Y_Dim:200 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38         39         40        41            42            43
  -380.0         X  1.661010e-06  1.608720e-06  1.558070e-06  1.509010e-06  1.461500e-06     23.575000     22.395500     21.310800    20.312700    19.389400    18.531400    17.730800    16.981200    16.277200    15.614300    14.988500    14.396500    13.835500    13.302900    12.796500   -11.458600   -11.228200   -11.114200   -10.928900   -10.678700   -10.371800    -9.986450    -9.510520    -8.943060    -8.271240    -7.503240    -6.647850    -5.722410    -4.756270   -3.782370   -2.838300   -1.976490   -1.247180   -0.688826  -0.317679  -0.116821 -0.004596 -2.213890e-05 -1.360040e-06
  -378.0         X  1.676620e-06  1.623830e-06  1.572700e-06  1.523190e-06  1.475230e-06     23.797100     22.606200     21.511100    20.503400    19.571200    18.705000    17.896800    17.140100    16.429400    15.760200    15.128400    14.530900    13.964500    13.426900    12.915800   -11.567900   -11.335300   -11.220200   -11.033100   -10.780400   -10.470500   -10.081400    -9.600790    -9.027810    -8.349460    -7.574030    -6.710400    -5.776090    -4.800740   -3.817630   -2.864680   -1.994830   -1.258730   -0.695205  -0.320624  -0.117907 -0.004639 -2.234680e-05 -1.372820e-06
  -376.0         X  1.692400e-06  1.639120e-06  1.587510e-06  1.537530e-06  1.489120e-06     24.021700     22.819300     21.713700    20.696300    19.755200    18.880700    18.064700    17.300800    16.583300    15.907700    15.270000    14.666700    14.095000    13.552300    13.036400   -11.678600   -11.443600   -11.327400   -11.138400   -10.883300   -10.570400   -10.177400    -9.692110    -9.113540    -8.428590    -7.645640    -6.773670    -5.830390    -4.845730   -3.853300   -2.891370   -2.013370   -1.270410   -0.701656  -0.323603  -0.119004 -0.004683 -2.255710e-05 -1.385750e-06
  -374.0         X  1.708370e-06  1.654580e-06  1.602490e-06  1.552030e-06  1.503170e-06     24.249000     23.035000     21.918600    20.891400    19.941200    19.058300    18.234600    17.463300    16.739000    16.057000    15.413200    14.804200    14.227100    13.679200    13.158400   -11.790500   -11.553200   -11.435900   -11.245000   -10.987400   -10.671400   -10.274500    -9.784510    -9.200270    -8.508640    -7.718080    -6.837670    -5.885310    -4.891230   -3.889360   -2.918350   -2.032110   -1.282230   -0.708180  -0.326615  -0.120114 -0.004727 -2.276980e-05 -1.398820e-06
  -372.0         X  1.724520e-06  1.670220e-06  1.617630e-06  1.566700e-06  1.517380e-06     24.478900     23.253100     22.125900    21.088800    20.129400    19.238000    18.406300    17.627700    16.896500    16.207900    15.558000    14.943200    14.360600    13.807500    13.281800   -11.903700   -11.664100   -11.545600   -11.352900   -11.092700   -10.773600   -10.372800    -9.877990    -9.288020    -8.589620    -7.791360    -6.902410    -5.940860    -4.937250   -3.925840   -2.945640   -2.051070   -1.294170   -0.714777  -0.329661  -0.121237 -0.004771 -2.298500e-05 -1.412040e-06
  -370.0         X  1.740850e-06  1.686040e-06  1.632960e-06  1.581540e-06  1.531750e-06     24.711500     23.473700     22.335600    21.288400    20.319800    19.419800    18.580100    17.794000    17.055700    16.360600    15.704400    15.083800    14.495600    13.937300    13.406500   -12.018300   -11.776300   -11.656600   -11.462000   -11.199300   -10.877000   -10.472300    -9.972560    -9.376790    -8.671550    -7.865490    -6.967900    -5.997050    -4.983800   -3.962730   -2.973240   -2.070250   -1.306260   -0.721448  -0.332741  -0.122372 -0.004816 -2.320260e-05 -1.425420e-06
  -368.0         X  1.757370e-06  1.702040e-06  1.648450e-06  1.596550e-06  1.546290e-06     24.946700     23.696900     22.547700    21.490300    20.512300    19.603600    18.755800    17.962200    17.216800    16.515000    15.852500    15.226000    14.632200    14.068500    13.532700   -12.134300   -11.889900   -11.769000   -11.572400   -11.307100   -10.981600   -10.572900   -10.068200    -9.466600    -8.754430    -7.940480    -7.034150    -6.053890    -5.030880   -4.000040   -3.001160   -2.089640   -1.318470   -0.728195  -0.335856  -0.123521 -0.004862 -2.342270e-05 -1.438940e-06
  -366.0         X  1.774080e-06  1.718230e-06  1.664130e-06  1.611740e-06  1.560990e-06     25.184700     23.922600     22.762200    21.694600    20.707100    19.789600    18.933600    18.132300    17.379800    16.671200    16.002400    15.369800    14.770300    14.201300    13.660400   -12.251600   -12.004800   -11.882700   -11.684200   -11.416200   -11.087500   -10.674700   -10.165100    -9.557470    -8.838280    -8.016340    -7.101160    -6.111380    -5.078500   -4.037780   -3.029390   -2.109250   -1.330830   -0.735017  -0.339006  -0.124682 -0.004908 -2.364530e-05 -1.452630e-06
  -364.0         X  1.790990e-06  1.734600e-06  1.679990e-06  1.627090e-06  1.575860e-06     25.425500     24.151000     22.979300    21.901200    20.904100    19.977700    19.113400    18.304300    17.544600    16.829100    16.153900    15.515200    14.910000    14.335500    13.789400   -12.370300   -12.121000   -11.997700   -11.797200   -11.526600   -11.194600   -10.777700   -10.263000    -9.649400    -8.923120    -8.093090    -7.168950    -6.169540    -5.126660   -4.075950   -3.057940   -2.129080   -1.343320   -0.741917  -0.342192  -0.125857 -0.004954 -2.387050e-05 -1.466470e-06
  -362.0         X  1.808090e-06  1.751160e-06  1.696030e-06  1.642630e-06  1.590910e-06     25.669100     24.382100     23.198800    22.110200    21.103400    20.168000    19.295300    18.478400    17.711200    16.988900    16.307200    15.662400    15.051300    14.471300    13.920000   -12.490500   -12.238700   -12.114100   -11.911600   -11.638200   -11.303000   -10.882000   -10.362100    -9.742420    -9.008940    -8.170740    -7.237530    -6.228370    -5.175380   -4.114560   -3.086810   -2.149130   -1.355960   -0.748895  -0.345415  -0.127044 -0.005001 -2.409830e-05 -1.480470e-06
  -360.0         X  1.825380e-06  1.767910e-06  1.712250e-06  1.658340e-06  1.606130e-06     25.915500     24.615800     23.421000    22.321700    21.305000    20.360400    19.479300    18.654400    17.879900    17.150600    16.462200    15.811200    15.194300    14.608700    14.052100   -12.612000   -12.357700   -12.231900   -12.027400   -11.751300   -11.412600   -10.987400   -10.462400    -9.836530    -9.095780    -8.249290    -7.306900    -6.287880    -5.224660   -4.153600   -3.116020   -2.169420   -1.368740   -0.755951  -0.348673  -0.128246 -0.005049 -2.432870e-05 -1.494630e-06
  -358.0         X  1.842880e-06  1.784860e-06  1.728660e-06  1.674230e-06  1.621520e-06     26.164800     24.852300     23.645600    22.535600    21.508900    20.555100    19.665400    18.832500    18.050400    17.314000    16.619000    15.961700    15.338800    14.747600    14.185600   -12.735100   -12.478200   -12.351100   -12.144500   -11.865600   -11.523600   -11.094100   -10.563800    -9.931750    -9.183630    -8.328760    -7.377090    -6.348070    -5.274510   -4.193100   -3.145550   -2.189930   -1.381660   -0.763087  -0.351969  -0.129461 -0.005097 -2.456180e-05 -1.508960e-06
  -356.0         X  1.860580e-06  1.802000e-06  1.745260e-06  1.690310e-06  1.637090e-06     26.417000     25.091500     23.872900    22.751900    21.715200    20.752100    19.853600    19.012600    18.222900    17.479400    16.777700    16.114000    15.485100    14.888100    14.320700   -12.859600   -12.600100   -12.471700   -12.263100   -11.981400   -11.635900   -11.202100   -10.666500   -10.028100    -9.272520    -8.409160    -7.448090    -6.408970    -5.324930   -4.233040   -3.175420   -2.210680   -1.394730   -0.770305  -0.355302  -0.130690 -0.005146 -2.479760e-05 -1.523450e-06
