  -380.0         X  4.581080e-05  4.479340e-05  4.379870e-05  4.282610e-05  4.187520e-05     17.754000     16.905600    16.126800    15.411200    14.750200    14.136800    13.565200    13.030500    12.528900    12.056700    11.611400    11.190200    10.791200    10.412400    10.052300    -8.188200    -8.021100    -7.938510    -7.804270    -7.623140    -7.401220    -7.122930    -6.779920    -6.372020    -5.890840    -5.343440    -4.737600    -4.087290    -3.414620   -2.743130   -2.097540   -1.509880   -1.007720  -0.610052  -0.325166  -0.148437 -0.013216 -2.881190e-04 -4.038330e-05
  -378.0         X  4.613100e-05  4.510650e-05  4.410470e-05  4.312530e-05  4.216770e-05     17.923400     17.066300    16.279500    15.556600    14.889000    14.269400    13.692000    13.151900    12.645200    12.168400    11.718600    11.293300    10.890400    10.507900    10.144200    -8.270580    -8.101700    -8.018230    -7.882560    -7.699520    -7.475240    -7.194000    -6.847350    -6.435160    -5.948920    -5.395800    -4.783660    -4.126650    -3.447130   -2.768880   -2.116910   -1.523550   -1.016640  -0.615316  -0.327892  -0.149644 -0.013316 -2.901700e-04 -4.066520e-05
  -376.0         X  4.645400e-05  4.542220e-05  4.441330e-05  4.342700e-05  4.246260e-05     18.095000     17.229100    16.434200    15.703900    15.029400    14.403500    13.820300    13.274800    12.763100    12.281500    11.827200    11.397700    10.990700    10.604500    10.237300    -8.354060    -8.183380    -8.099020    -7.961900    -7.776900    -7.550240    -7.266000    -6.915680    -6.499120    -6.007760    -5.448840    -4.830320    -4.166520    -3.480050   -2.794960   -2.136520   -1.537390   -1.025670  -0.620639  -0.330647  -0.150862 -0.013417 -2.922390e-04 -4.094950e-05
  -374.0         X  4.677970e-05  4.574060e-05  4.472460e-05  4.373130e-05  4.276010e-05     18.268800     17.393800    16.590700    15.853000    15.171600    14.539300    13.950200    13.399200    12.882300    12.395900    11.937100    11.503300    11.092300    10.702300    10.331400    -8.438660    -8.266150    -8.180890    -8.042300    -7.855320    -7.626240    -7.338970    -6.984910    -6.563930    -6.067370    -5.502560    -4.877570    -4.206890    -3.513390   -2.821360   -2.156360   -1.551390   -1.034800  -0.626021  -0.333432  -0.152094 -0.013519 -2.943260e-04 -4.123620e-05
  -372.0         X  4.710820e-05  4.606170e-05  4.503860e-05  4.403820e-05  4.306020e-05     18.444700     17.560700    16.749300    16.003900    15.315600    14.676900    14.081700    13.525200    13.003000    12.511800    12.048300    11.610200    11.195100    10.801200    10.426700    -8.524400    -8.350030    -8.263850    -8.123780    -7.934790    -7.703250    -7.412900    -7.055070    -6.629600    -6.127770    -5.556990    -4.925440    -4.247790    -3.547140   -2.848090   -2.176450   -1.565560   -1.044030  -0.631465  -0.336248  -0.153338 -0.013622 -2.964320e-04 -4.152540e-05
  -370.0         X  4.743950e-05  4.638560e-05  4.535520e-05  4.434770e-05  4.336270e-05     18.622900     17.729700    16.909900    16.156800    15.461400    14.816100    14.214900    13.652700    13.125300    12.629000    12.161000    11.718400    11.299200    10.901400    10.523200    -8.611300    -8.435050    -8.347940    -8.206350    -8.015320    -7.781290    -7.487820    -7.126150    -6.696130    -6.188960    -5.612130    -4.973940    -4.289200    -3.581320   -2.875150   -2.196780   -1.579900   -1.053380  -0.636969  -0.339094  -0.154596 -0.013726 -2.985550e-04 -4.181700e-05
  -368.0         X  4.777360e-05  4.671220e-05  4.567450e-05  4.465990e-05  4.366790e-05     18.803400     17.900800    17.072500    16.311600    15.609000    14.957100    14.349700    13.781800    13.249000    12.747700    12.275000    11.828000    11.404600    11.002800    10.620800    -8.699370    -8.521210    -8.433150    -8.290030    -8.096940    -7.860380    -7.563750    -7.198180    -6.763550    -6.250960    -5.668000    -5.023060    -4.331150    -3.615940   -2.902550   -2.217370   -1.594410   -1.062830  -0.642536  -0.341971  -0.155867 -0.013831 -3.006980e-04 -4.211110e-05
  -366.0         X  4.811050e-05  4.704160e-05  4.599650e-05  4.497470e-05  4.397570e-05     18.986200     18.074100    17.237100    16.468400    15.758500    15.099800    14.486200    13.912500    13.374300    12.867900    12.390400    11.938900    11.511200    11.105400    10.719600    -8.788630    -8.608530    -8.519520    -8.374850    -8.179660    -7.940530    -7.640690    -7.271180    -6.831870    -6.313780    -5.724600    -5.072820    -4.373650    -3.651000   -2.930290   -2.238200   -1.609100   -1.072400  -0.648167  -0.344880  -0.157151 -0.013937 -3.028590e-04 -4.240760e-05
  -364.0         X  4.845040e-05  4.737380e-05  4.632130e-05  4.529220e-05  4.428600e-05     19.171300     18.249700    17.403900    16.627100    15.909800    15.244400    14.624500    14.044800    13.501100    12.989600    12.507200    12.051100    11.619200    11.209300    10.819600    -8.879110    -8.697040    -8.607060    -8.460810    -8.263500    -8.021770    -7.718680    -7.345160    -6.901100    -6.377430    -5.781940    -5.123240    -4.416690    -3.686500   -2.958390   -2.259300   -1.623960   -1.082070  -0.653861  -0.347820  -0.158448 -0.014044 -3.050390e-04 -4.270680e-05
  -362.0         X  4.879310e-05  4.770890e-05  4.664880e-05  4.561240e-05  4.459900e-05     19.358900     18.427500    17.572800    16.787800    16.063100    15.390800    14.764400    14.178800    13.629500    13.112800    12.625500    12.164800    11.728500    11.314400    10.920900    -8.970820    -8.786760    -8.695800    -8.547940    -8.348480    -8.104110    -7.797710    -7.420130    -6.971260    -6.441940    -5.840050    -5.174310    -4.460290    -3.722470   -2.986830   -2.280650   -1.639000   -1.091860  -0.659620  -0.350793  -0.159759 -0.014153 -3.072390e-04 -4.300840e-05
  -360.0         X  4.913880e-05  4.804680e-05  4.697910e-05  4.593530e-05  4.491470e-05     19.548800     18.607600    17.743800    16.950700    16.218300    15.539000    14.906200    14.314500    13.759600    13.237500    12.745200    12.279900    11.839100    11.420900    11.023400    -9.063790    -8.877700    -8.785740    -8.636260    -8.434610    -8.187570    -7.877820    -7.496120    -7.042360    -6.507300    -5.898930    -5.226060    -4.504460    -3.758890   -3.015640   -2.302270   -1.654230   -1.101770  -0.665444  -0.353798  -0.161084 -0.014262 -3.094570e-04 -4.331260e-05
  -358.0         X  4.948740e-05  4.838760e-05  4.731230e-05  4.626100e-05  4.523310e-05     19.741200     18.790000    17.917100    17.115500    16.375500    15.689100    15.049700    14.451900    13.891200    13.363800    12.866500    12.396400    11.951100    11.528600    11.127100    -9.158030    -8.969890    -8.876910    -8.725790    -8.521920    -8.272160    -7.959010    -7.573130    -7.114430    -6.573550    -5.958590    -5.278490    -4.549200    -3.795780   -3.044810   -2.324160   -1.669630   -1.111790  -0.671335  -0.356837  -0.162423 -0.014372 -3.116950e-04 -4.361950e-05
  -356.0         X  4.983890e-05  4.873120e-05  4.764820e-05  4.658940e-05  4.555420e-05     19.936200     18.974700    18.092600    17.282600    16.534700    15.841100    15.195000    14.591000    14.024500    13.491700    12.989200    12.514300    12.064500    11.637700    11.232100    -9.253570    -9.063350    -8.969340    -8.816550    -8.610420    -8.357910    -8.041310    -7.651200    -7.187460    -6.640680    -6.019040    -5.331610    -4.594530    -3.833150   -3.074350   -2.346320   -1.685230   -1.121930  -0.677294  -0.359909  -0.163777 -0.014483 -3.139530e-04 -4.392890e-05
  -354.0         X  5.019350e-05  4.907780e-05  4.798710e-05  4.692060e-05  4.587800e-05     20.133600     19.161900    18.270300    17.451700    16.696000    15.995100    15.342200    14.731900    14.159500    13.621200    13.113500    12.633700    12.179300    11.748200    11.338500    -9.350420    -9.158090    -9.063040    -8.908550    -8.700140    -8.444830    -8.124740    -7.730320    -7.261490    -6.708720    -6.080310    -5.385440    -4.640460    -3.871000   -3.104270   -2.368760   -1.701020   -1.132190  -0.683321  -0.363015  -0.165144 -0.014595 -3.162300e-04 -4.424090e-05
  -352.0         X  5.055110e-05  4.942740e-05  4.832880e-05  4.725470e-05  4.620450e-05     20.333700     19.351500    18.450400    17.623000    16.859300    16.151000    15.491300    14.874600    14.296200    13.752300    13.239400    12.754600    12.295600    11.860000    11.446100    -9.448620    -9.254140    -9.158030    -9.001830    -8.791100    -8.532950    -8.209310    -7.810520    -7.336520    -6.777670    -6.142400    -5.439990    -4.686990    -3.909340   -3.134570   -2.391480   -1.717000   -1.142570  -0.689417  -0.366155  -0.166526 -0.014709 -3.185270e-04 -4.455560e-05
  -350.0         X  5.091170e-05  4.977990e-05  4.867340e-05  4.759160e-05  4.653390e-05     20.536300     19.543500    18.632800    17.796600    17.024700    16.308900    15.642200    15.019100    14.434700    13.885000    13.366800    12.877100    12.413300    11.973300    11.555100    -9.548180    -9.351530    -9.254340    -9.096390    -8.883310    -8.622290    -8.295040    -7.891830    -7.412570    -6.847570    -6.205320    -5.495260    -4.734130    -3.948180   -3.165260   -2.414480   -1.733170   -1.153080  -0.695584  -0.369330  -0.167923 -0.014823 -3.208450e-04 -4.487300e-05
  -348.0         X  5.127530e-05  5.013540e-05  4.902090e-05  4.793130e-05  4.686600e-05     20.741600     19.738100    18.817500    17.972400    17.192300    16.468800    15.795100    15.165400    14.574900    14.019500    13.495900    13.001000    12.532400    12.087900    11.665500    -9.649120    -9.450270    -9.351990    -9.192270    -8.976800    -8.712860    -8.381950    -7.974250    -7.489670    -6.918410    -6.269100    -5.551270    -4.781900    -3.987530   -3.196340   -2.437770   -1.749550   -1.163710  -0.701821  -0.372541  -0.169334 -0.014939 -3.231820e-04 -4.519300e-05
  -346.0         X  5.164210e-05  5.049400e-05  4.937140e-05  4.827390e-05  4.720090e-05     20.949700     19.935200    19.004700    18.150500    17.362000    16.630800    15.950000    15.313600    14.716800    14.155600    13.626500    13.126600    12.653100    12.204000    11.777200    -9.751480    -9.550380    -9.451000    -9.289480    -9.071590    -8.804680    -8.470070    -8.057800    -7.567820    -6.990220    -6.333730    -5.608040    -4.830290    -4.027400   -3.227820   -2.461360   -1.766120   -1.174470  -0.708131  -0.375787  -0.170761 -0.015056 -3.255400e-04 -4.551580e-05
  -344.0         X  5.201200e-05  5.085550e-05  4.972490e-05  4.861950e-05  4.753870e-05     21.160400     20.134900    19.194300    18.330900    17.533900    16.794900    16.106800    15.463700    14.860600    14.293500    13.758900    13.253700    12.775300    12.321500    11.890300    -9.855260    -9.651890    -9.551390    -9.388040    -9.167700    -8.897780    -8.559410    -8.142510    -7.647050    -7.063010    -6.399250    -5.665560    -4.879340    -4.067780   -3.259710   -2.485240   -1.782900   -1.185360  -0.714514  -0.379069  -0.172203 -0.015173 -3.279190e-04 -4.584130e-05
  -342.0         X  5.238500e-05  5.122020e-05  5.008130e-05  4.896790e-05  4.787930e-05     21.374000     20.337300    19.386400    18.513600    17.708100    16.961200    16.265700    15.615700    15.006300    14.433200    13.892900    13.382400    12.899000    12.440500    12.004800    -9.960510    -9.754830    -9.653190    -9.487990    -9.265150    -8.992180    -8.649980    -8.228400    -7.727370    -7.136800    -6.465650    -5.723860    -4.929030    -4.108700   -3.292010   -2.509430   -1.799890   -1.196380  -0.720970  -0.382388  -0.173660 -0.015292 -3.303180e-04 -4.616950e-05
  -340.0         X  5.276120e-05  5.158790e-05  5.044080e-05  4.931930e-05  4.822290e-05     21.590400     20.542300    19.581100    18.698700    17.884500    17.129600    16.426600    15.769700    15.153800    14.574600    14.028600    13.512800    13.024300    12.561000    12.120800   -10.067200    -9.859210    -9.756410    -9.589340    -9.363960    -9.087900    -8.741830    -8.315470    -7.808800    -7.211600    -6.532960    -5.782950    -4.979400    -4.150150   -3.324730   -2.533920   -1.817080   -1.207530  -0.727502  -0.385744  -0.175133 -0.015413 -3.327390e-04 -4.650050e-05
  -338.0         X  5.314050e-05  5.195870e-05  5.080330e-05  4.967370e-05  4.856930e-05     21.809700     20.750000    19.778300    18.886300    18.063300    17.300100    16.589600    15.925600    15.303200    14.717800    14.166100    13.644800    13.151200    12.683000    12.238300   -10.175500    -9.965070    -9.861090    -9.692110    -9.464170    -9.184960    -8.834950    -8.403760    -7.891360    -7.287440    -6.601200    -5.842840    -5.030430    -4.192160   -3.357870   -2.558730   -1.834490   -1.218810  -0.734110  -0.389137  -0.176621 -0.015534 -3.351800e-04 -4.683430e-05
  -336.0         X  5.352300e-05  5.233270e-05  5.116890e-05  5.003100e-05  4.891860e-05     22.031900     20.960500    19.978100    19.076400    18.244300    17.472900    16.754700    16.083600    15.454500    14.862900    14.305300    13.778500    13.279700    12.806600    12.357200   -10.285200   -10.072400    -9.967260    -9.796340    -9.565790    -9.283380    -8.929380    -8.493290    -7.975070    -7.364320    -6.670370    -5.903550    -5.082150    -4.234720   -3.391440   -2.583850   -1.852120   -1.230230  -0.740795  -0.392568  -0.178126 -0.015656 -3.376430e-04 -4.717100e-05
  -334.0         X  5.390880e-05  5.270980e-05  5.153750e-05  5.039140e-05  4.927090e-05     22.257000     21.173800    20.180500    19.268900    18.427800    17.648000    16.922000    16.243700    15.607800    15.009900    14.446300    13.913900    13.409800    12.931800    12.477600   -10.396600   -10.181300   -10.074900    -9.902040    -9.668840    -9.383200    -9.025140    -8.584060    -8.059940    -7.442270    -6.740490    -5.965080    -5.134570    -4.277840   -3.425460   -2.609290   -1.869970   -1.241790  -0.747558  -0.396038  -0.179647 -0.015780 -3.401270e-04 -4.751040e-05
  -332.0         X  5.429780e-05  5.309010e-05  5.190930e-05  5.075480e-05  4.962610e-05     22.485200     21.390000    20.385700    19.464000    18.613600    17.825300    17.091500    16.405800    15.763000    15.158700    14.589100    14.051000    13.541600    13.058500    12.599600   -10.509500   -10.291700   -10.184100   -10.009200    -9.773350    -9.484420    -9.122250    -8.676120    -8.146010    -7.521300    -6.811570    -6.027460    -5.187700    -4.321540   -3.459910   -2.635060   -1.888040   -1.253490  -0.754400  -0.399547  -0.181184 -0.015905 -3.426330e-04 -4.785270e-05
  -330.0         X  5.469010e-05  5.347350e-05  5.228410e-05  5.112130e-05  4.998430e-05     22.716500     21.609000    20.593500    19.661700    18.802000    18.005000    17.263200    16.570000    15.920300    15.309500    14.733800    14.189900    13.675100    13.186900    12.723100   -10.624000   -10.403700   -10.294900   -10.118000    -9.879350    -9.587080    -9.220740    -8.769470    -8.233270    -7.601430    -6.883640    -6.090680    -5.241540    -4.365820   -3.494820   -2.661160   -1.906330   -1.265330  -0.761322  -0.403095  -0.182737 -0.016031 -3.451600e-04 -4.819790e-05
  -328.0         X  5.508570e-05  5.386020e-05  5.266210e-05  5.149080e-05  5.034560e-05     22.950900     21.831000    20.804200    19.862000    18.992800    18.187100    17.437100    16.736400    16.079600    15.462200    14.880300    14.330600    13.810300    13.316900    12.848200   -10.740200   -10.517300   -10.407200   -10.228300    -9.986860    -9.691200    -9.320620    -8.864130    -8.321770    -7.682680    -6.956710    -6.154780    -5.296120    -4.410700   -3.530190   -2.687590   -1.924860   -1.277320  -0.768325  -0.406684  -0.184307 -0.016158 -3.477100e-04 -4.854590e-05
  -326.0         X  5.548460e-05  5.425020e-05  5.304330e-05  5.186340e-05  5.070980e-05     23.188400     22.055900    21.017600    20.065000    19.186100    18.371500    17.613300    16.905000    16.241000    15.616900    15.028800    14.473200    13.947300    13.448600    12.974800   -10.858000   -10.632600   -10.521200   -10.340100   -10.095900    -9.796810    -9.421920    -8.960140    -8.411510    -7.765070    -7.030800    -6.219760    -5.351440    -4.456170   -3.566030   -2.714370   -1.943610   -1.289450  -0.775411  -0.410312  -0.185894 -0.016286 -3.502810e-04 -4.889690e-05
  -324.0         X  5.588690e-05  5.464340e-05  5.342770e-05  5.223910e-05  5.107710e-05     23.429200     22.283900    21.234000    20.270700    19.382000    18.558400    17.791900    17.075700    16.404600    15.773700    15.179100    14.617500    14.086000    13.581900    13.103100   -10.977500   -10.749500   -10.636700   -10.453600   -10.206500    -9.903930    -9.524660    -9.057520    -8.502530    -7.848620    -7.105920    -6.285630    -5.407510    -4.502260   -3.602330   -2.741490   -1.962610   -1.301730  -0.782580  -0.413982  -0.187498 -0.016416 -3.528750e-04 -4.925080e-05
  -322.0         X  5.629240e-05  5.503990e-05  5.381530e-05  5.261800e-05  5.144750e-05     23.673300     22.515000    21.453200    20.479100    19.580600    18.747800    17.972800    17.248800    16.570200    15.932400    15.331400    14.763700    14.226500    13.717000    13.233100   -11.098800   -10.868000   -10.754000   -10.568700   -10.318700   -10.012600    -9.628880    -9.156280    -8.594830    -7.933350    -7.182090    -6.352420    -5.464350    -4.548970   -3.639120   -2.768960   -1.981840   -1.314160  -0.789834  -0.417693  -0.189120 -0.016547 -3.554910e-04 -4.960770e-05
  -320.0         X  5.670140e-05  5.543960e-05  5.420600e-05  5.300000e-05  5.182090e-05     23.920600     22.749200    21.675400    20.690300    19.781700    18.939700    18.156000    17.424100    16.738000    16.093300    15.485700    14.911900    14.368800    13.853800    13.364700   -11.221800   -10.988300   -10.872900   -10.685400   -10.432500   -10.122800    -9.734580    -9.256450    -8.688440    -8.019270    -7.259330    -6.420140    -5.521970    -4.596310   -3.676400   -2.796790   -2.001320   -1.326740  -0.797173  -0.421446  -0.190759 -0.016679 -3.581300e-04 -4.996750e-05
  -318.0         X  5.711380e-05  5.584280e-05  5.460010e-05  5.338520e-05  5.219740e-05     24.171400     22.986600    21.900600    20.904400    19.985600    19.134100    18.341800    17.601700    16.908100    16.256300    15.642000    15.061900    14.512900    13.992400    13.498000   -11.346600   -11.110400   -10.993600   -10.803900   -10.548000   -10.234600    -9.841810    -9.358060    -8.783390    -8.106410    -7.337650    -6.488790    -5.580380    -4.644290   -3.714170   -2.824980   -2.021040   -1.339480  -0.804599  -0.425242  -0.192415 -0.016813 -3.607910e-04 -5.033030e-05
  -316.0         X  5.752960e-05  5.624920e-05  5.499740e-05  5.377360e-05  5.257710e-05     24.425600     23.227200    22.128900    21.121400    20.192200    19.331200    18.530000    17.781600    17.080400    16.421400    15.800400    15.214000    14.659000    14.132800    13.633100   -11.473200   -11.234200   -11.116000   -10.924100   -10.665100   -10.348000    -9.950590    -9.461120    -8.879700    -8.194790    -7.417070    -6.558410    -5.639600    -4.692930   -3.752450   -2.853540   -2.041020   -1.352380  -0.812114  -0.429081  -0.194090 -0.016947 -3.634760e-04 -5.069610e-05
  -314.0         X  5.794880e-05  5.665900e-05  5.539800e-05  5.416520e-05  5.295990e-05     24.683200     23.471100    22.360200    21.341300    20.401600    19.530900    18.720700    17.964000    17.255000    16.588600    15.960800    15.368000    14.806900    14.275000    13.769900   -11.601700   -11.359800   -11.240200   -11.046000   -10.784000   -10.463100   -10.060900    -9.565670    -8.977390    -8.284430    -7.497620    -6.629000    -5.699630    -4.742220   -3.791230   -2.882480   -2.061250   -1.365430  -0.819717  -0.432963  -0.195783 -0.017083 -3.661830e-04 -5.106490e-05
  -312.0         X  5.837150e-05  5.707220e-05  5.580190e-05  5.456000e-05  5.334580e-05     24.944500     23.718400    22.594700    21.564200    20.613800    19.733300    18.914000    18.148800    17.431800    16.758100    16.123400    15.524000    14.956800    14.419100    13.908400   -11.732100   -11.487300   -11.366300   -11.169700   -10.904500   -10.579800   -10.172900    -9.671730    -9.076480    -8.375340    -7.579310    -6.700570    -5.760500    -4.792190   -3.830540   -2.911790   -2.081730   -1.378640  -0.827411  -0.436890  -0.197493 -0.017221 -3.689130e-04 -5.143670e-05
  -310.0         X  5.879770e-05  5.748880e-05  5.620910e-05  5.495800e-05  5.373490e-05     25.209300     23.969000    22.832400    21.790100    20.828900    19.938400    19.109800    18.336000    17.611100    16.929900    16.288100    15.682100    15.108600    14.565000    14.048800   -11.864400   -11.616600   -11.494100   -11.295200   -11.026900   -10.698300   -10.286500    -9.779330    -9.176990    -8.467560    -7.662160    -6.773160    -5.822210    -4.842840   -3.870370   -2.941480   -2.102480   -1.392020  -0.835196  -0.440861  -0.199223 -0.017359 -3.716670e-04 -5.181160e-05
  -308.0         X  5.922740e-05  5.790880e-05  5.661970e-05  5.535940e-05  5.412720e-05     25.477800     24.223100    23.073400    22.019100    21.046900    20.146200    19.308300    18.525800    17.792700    17.103900    16.454900    15.842200    15.262400    14.712800    14.191000   -11.998600   -11.747800   -11.623900   -11.422600   -11.151000   -10.818400   -10.401700    -9.888490    -9.278960    -8.561100    -7.746190    -6.846770    -5.884780    -4.894180   -3.910740   -2.971570   -2.123490   -1.405560  -0.843074  -0.444877  -0.200971 -0.017500 -3.744440e-04 -5.218960e-05
  -306.0         X  5.966060e-05  5.833220e-05  5.703360e-05  5.576400e-05  5.452270e-05     25.750000     24.480700    23.317700    22.251200    21.267800    20.356900    19.509400    18.718100    17.976800    17.280200    16.624000    16.004500    15.418300    14.862600    14.335000   -12.134800   -11.881000   -11.755600   -11.551800   -11.276900   -10.940400   -10.518600    -9.999230    -9.382410    -8.655990    -7.831410    -6.921410    -5.948220    -4.946230   -3.951650   -3.002050   -2.144770   -1.419270  -0.851045  -0.448939  -0.202738 -0.017641 -3.772450e-04 -5.257070e-05
