Name:B X_Dim:150 Y_Dim:30 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39         40            41            42            43
  -380.0         X  5.482380e-06  5.365900e-06  5.251900e-06  5.140330e-06  5.031120e-06     0.674828     0.655152     0.636229     0.618102     0.600719     0.584031     0.567995     0.552571     0.537723     0.523418     0.509623     0.496313     0.483460     0.471041     0.459034    -0.229679    -0.227068    -0.225758    -0.223602    -0.220639    -0.216920    -0.212115    -0.205966    -0.198313    -0.188783    -0.177241    -0.163544    -0.147691   -0.129940   -0.110692   -0.090489   -0.070255   -0.051039   -0.033936   -0.020026  -0.010170 -1.147120e-03 -3.168360e-05 -4.866160e-06
  -378.0         X  5.554970e-06  5.436960e-06  5.321450e-06  5.208390e-06  5.097740e-06     0.683743     0.663807     0.644634     0.626268     0.608655     0.591746     0.575499     0.559871     0.544827     0.530332     0.516356     0.502870     0.489847     0.477264     0.465098    -0.232713    -0.230067    -0.228740    -0.226556    -0.223553    -0.219785    -0.214916    -0.208686    -0.200933    -0.191277    -0.179582    -0.165704    -0.149641   -0.131657   -0.112154   -0.091684   -0.071183   -0.051713   -0.034384   -0.020291  -0.010304 -1.162290e-03 -3.210300e-05 -4.930600e-06
  -376.0         X  5.628840e-06  5.509260e-06  5.392210e-06  5.277660e-06  5.165530e-06     0.692813     0.672613     0.653185     0.634575     0.616729     0.599596     0.583133     0.567299     0.552055     0.537368     0.523206     0.509541     0.496346     0.483596     0.471268    -0.235799    -0.233118    -0.231774    -0.229561    -0.226518    -0.222700    -0.217767    -0.211454    -0.203598    -0.193813    -0.181964    -0.167901    -0.151626   -0.133403   -0.113642   -0.092900   -0.072127   -0.052399   -0.034841   -0.020560  -0.010441 -1.177730e-03 -3.252980e-05 -4.996170e-06
  -374.0         X  5.704010e-06  5.582830e-06  5.464220e-06  5.348140e-06  5.234520e-06     0.702042     0.681573     0.661887     0.643029     0.624945     0.607584     0.590902     0.574856     0.559409     0.544527     0.530176     0.516329     0.502958     0.490038     0.477547    -0.238940    -0.236223    -0.234861    -0.232618    -0.229535    -0.225666    -0.220667    -0.214271    -0.206309    -0.196395    -0.184387    -0.170138    -0.153646   -0.135180   -0.115156   -0.094138   -0.073088   -0.053097   -0.035305   -0.020834  -0.010580 -1.193440e-03 -3.296410e-05 -5.062890e-06
  -372.0         X  5.780510e-06  5.657700e-06  5.537510e-06  5.419860e-06  5.304720e-06     0.711434     0.690691     0.670742     0.651632     0.633306     0.615713     0.598807     0.582547     0.566893     0.551812     0.537270     0.523237     0.509687     0.496595     0.483936    -0.242136    -0.239383    -0.238002    -0.235729    -0.232605    -0.228685    -0.223619    -0.217137    -0.209069    -0.199022    -0.186854    -0.172413    -0.155701   -0.136988   -0.116696   -0.095397   -0.074066   -0.053808   -0.035777   -0.021113  -0.010722 -1.209430e-03 -3.340600e-05 -5.130790e-06
  -370.0         X  5.858370e-06  5.733910e-06  5.612090e-06  5.492860e-06  5.376170e-06     0.720992     0.699970     0.679753     0.660386     0.641814     0.623985     0.606852     0.590374     0.574510     0.559226     0.544488     0.530267     0.516535     0.503267     0.490438    -0.245388    -0.242598    -0.241199    -0.238896    -0.235730    -0.231757    -0.226623    -0.220053    -0.211877    -0.201695    -0.189363    -0.174729    -0.157792   -0.138828   -0.118264   -0.096679   -0.075061   -0.054531   -0.036258   -0.021396  -0.010866 -1.225700e-03 -3.385590e-05 -5.199900e-06
  -368.0         X  5.937610e-06  5.811470e-06  5.688000e-06  5.567160e-06  5.448890e-06     0.730720     0.709414     0.688924     0.669296     0.650474     0.632404     0.615040     0.598339     0.582262     0.566771     0.551835     0.537422     0.523505     0.510057     0.497056    -0.248698    -0.245871    -0.244453    -0.242118    -0.238910    -0.234883    -0.229680    -0.223022    -0.214735    -0.204416    -0.191918    -0.177086    -0.159921   -0.140701   -0.119859   -0.097983   -0.076074   -0.055266   -0.036747   -0.021685  -0.011012 -1.242260e-03 -3.431370e-05 -5.270240e-06
  -366.0         X  6.018270e-06  5.890410e-06  5.765270e-06  5.642790e-06  5.522910e-06     0.740621     0.719027     0.698259     0.678365     0.659288     0.640973     0.623374     0.606447     0.590151     0.574451     0.559312     0.544704     0.530599     0.516969     0.503791    -0.252067    -0.249202    -0.247764    -0.245398    -0.242146    -0.238065    -0.232791    -0.226043    -0.217644    -0.207185    -0.194518    -0.179485    -0.162087   -0.142607   -0.121483   -0.099310   -0.077105   -0.056015   -0.037245   -0.021979  -0.011162 -1.259120e-03 -3.477970e-05 -5.341840e-06
  -364.0         X  6.100380e-06  5.970780e-06  5.843930e-06  5.719780e-06  5.598270e-06     0.750699     0.728811     0.707761     0.687597     0.668259     0.649696     0.631857     0.614700     0.598183     0.582269     0.566924     0.552117     0.537820     0.524005     0.510647    -0.255497    -0.252592    -0.251135    -0.248737    -0.245441    -0.241304    -0.235958    -0.229118    -0.220605    -0.210004    -0.197164    -0.181927    -0.164292   -0.144547   -0.123136   -0.100662   -0.078154   -0.056778   -0.037752   -0.022279  -0.011314 -1.276280e-03 -3.525400e-05 -5.414720e-06
  -362.0         X  6.183980e-06  6.052600e-06  5.924010e-06  5.798160e-06  5.674980e-06     0.760959     0.738772     0.717434     0.696994     0.677392     0.658575     0.640493     0.623101     0.606358     0.590227     0.574672     0.559663     0.545170     0.531167     0.517627    -0.258988    -0.256044    -0.254567    -0.252136    -0.248794    -0.244601    -0.239182    -0.232249    -0.223619    -0.212873    -0.199858    -0.184413    -0.166537   -0.146522   -0.124818   -0.102037   -0.079222   -0.057554   -0.038268   -0.022583  -0.011468 -1.293750e-03 -3.573700e-05 -5.488920e-06
