Name:A X_Dim:120 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28         29         30         31         32         33         34        35        36        37        38        39            40            41            42            43
  -380.0         X  1.037900e-11  9.834830e-12  9.319200e-12  8.830620e-12  8.367660e-12     4.226070     3.892530     3.594020     3.326570     3.085570     2.867340     2.668840    2.487610    2.321570    2.168990    2.028430    1.898630    1.778510    1.667170    1.563770   -2.825850   -2.747100   -2.708300   -2.645410   -2.560930   -2.458000   -2.329880   -2.173520   -1.989990  -1.777180  -1.540590  -1.286750  -1.025640  -0.771079  -0.537400 -0.338317 -0.186401 -0.086066 -0.031362 -0.008340 -1.503470e-03 -6.053250e-06 -7.272240e-10 -6.616050e-12
  -378.0         X  1.046720e-11  9.918350e-12  9.398330e-12  8.905580e-12  8.438690e-12     4.270380     3.933220     3.631480     3.361140     3.117560     2.896990     2.696370    2.513210    2.345400    2.191220    2.049170    1.918000    1.796630    1.684110    1.579640   -2.856050   -2.776420   -2.737190   -2.673610   -2.588200   -2.484140   -2.354610   -2.196540   -2.010990  -1.795860  -1.556710  -1.300140  -1.036230  -0.778974  -0.542847 -0.341708 -0.188246 -0.086906 -0.031663 -0.008419 -1.517440e-03 -6.107340e-06 -7.334760e-10 -6.672110e-12
  -376.0         X  1.055630e-11  1.000280e-11  9.478330e-12  8.981380e-12  8.510500e-12     4.315330     3.974490     3.669470     3.396210     3.150000     2.927050     2.724290    2.539160    2.369570    2.213750    2.070200    1.937640    1.814990    1.701290    1.595730   -2.886680   -2.806170   -2.766510   -2.702220   -2.615860   -2.510650   -2.379700   -2.219880   -2.032300  -1.814820  -1.573060  -1.313710  -1.046970  -0.786977  -0.548369 -0.345144 -0.190115 -0.087757 -0.031969 -0.008499 -1.531580e-03 -6.162080e-06 -7.397970e-10 -6.728780e-12
  -374.0         X  1.064640e-11  1.008820e-11  9.559210e-12  9.058010e-12  8.583100e-12     4.360910     4.016340     3.708000     3.431770     3.182890     2.957540     2.752590    2.565480    2.394080    2.236590    2.091510    1.957550    1.833600    1.718710    1.612030   -2.917760   -2.836360   -2.796250   -2.731250   -2.643930   -2.537550   -2.405140   -2.243560   -2.053910  -1.834040  -1.589640  -1.327470  -1.057850  -0.795091  -0.553967 -0.348627 -0.192009 -0.088619 -0.032278 -0.008580 -1.545890e-03 -6.217460e-06 -7.461890e-10 -6.786080e-12
  -372.0         X  1.073750e-11  1.017450e-11  9.640990e-12  9.135490e-12  8.656500e-12     4.407150     4.058800     3.747080     3.467830     3.216250     2.988460     2.781290    2.592170    2.418930    2.259750    2.113130    1.977740    1.852480    1.736360    1.628560   -2.949290   -2.866980   -2.826420   -2.760700   -2.672400   -2.564840   -2.430960   -2.267580   -2.075830  -1.853540  -1.606460  -1.341430  -1.068900  -0.803318  -0.559642 -0.352157 -0.193928 -0.089492 -0.032591 -0.008662 -1.560390e-03 -6.273490e-06 -7.526530e-10 -6.844010e-12
  -370.0         X  1.082960e-11  1.026180e-11  9.723680e-12  9.213830e-12  8.730720e-12     4.454050     4.101860     3.786710     3.504410     3.250080     3.019810     2.810400    2.619230    2.444120    2.283240    2.135040    1.998210    1.871610    1.754260    1.645320   -2.981290   -2.898050   -2.857040   -2.790580   -2.701290   -2.592530   -2.457150   -2.291950   -2.098070  -1.873320  -1.623510  -1.355580  -1.080090  -0.811660  -0.565395 -0.355735 -0.195873 -0.090377 -0.032908 -0.008745 -1.575060e-03 -6.330190e-06 -7.591900e-10 -6.902590e-12
  -368.0         X  1.092280e-11  1.035000e-11  9.807280e-12  9.293040e-12  8.805770e-12     4.501630     4.145530     3.826910     3.541500     3.284390     3.051600     2.839920    2.646680    2.469670    2.307050    2.157260    2.018960    1.891010    1.772410    1.662310   -3.013750   -2.929570   -2.888100   -2.820890   -2.730610   -2.620620   -2.483730   -2.316680   -2.120640  -1.893380  -1.640820  -1.369940  -1.091450  -0.820119  -0.571227 -0.359363 -0.197844 -0.091273 -0.033230 -0.008829 -1.589920e-03 -6.387560e-06 -7.658010e-10 -6.961810e-12
  -366.0         X  1.101690e-11  1.043920e-11  9.891820e-12  9.373130e-12  8.881640e-12     4.549890     4.189840     3.867690     3.579130     3.319190     3.083850     2.869850    2.674510    2.495580    2.331200    2.179800    2.040010    1.910680    1.790820    1.679530   -3.046700   -2.961570   -2.919630   -2.851660   -2.760350   -2.649120   -2.510690   -2.341760   -2.143530  -1.913740  -1.658370  -1.384510  -1.102960  -0.828697  -0.577141 -0.363039 -0.199842 -0.092181 -0.033555 -0.008914 -1.604960e-03 -6.445620e-06 -7.724870e-10 -7.021690e-12
  -364.0         X  1.111220e-11  1.052940e-11  9.977290e-12  9.454110e-12  8.958370e-12     4.598860     4.234790     3.909060     3.617300     3.354490     3.116560     2.900220    2.702730    2.521860    2.355700    2.202650    2.061350    1.930630    1.809480    1.697000   -3.080130   -2.994030   -2.951620   -2.882870   -2.790530   -2.678050   -2.538050   -2.367220   -2.166750  -1.934390  -1.676170  -1.399280  -1.114650  -0.837396  -0.583137 -0.366767 -0.201867 -0.093102 -0.033885 -0.009000 -1.620190e-03 -6.504370e-06 -7.792490e-10 -7.082230e-12
  -362.0         X  1.120850e-11  1.062070e-11  1.006370e-11  9.536000e-12  9.035950e-12     4.648540     4.280390     3.951020     3.656020     3.390290     3.149740     2.931010    2.731360    2.548510    2.380530    2.225820    2.082990    1.950860    1.828400    1.714710   -3.114060   -3.026980   -2.984080   -2.914560   -2.821160   -2.707400   -2.565810   -2.393050   -2.190320  -1.955340  -1.694240  -1.414270  -1.126490  -0.846217  -0.589217 -0.370546 -0.203919 -0.094035 -0.034219 -0.009087 -1.635620e-03 -6.563820e-06 -7.860870e-10 -7.143450e-12
  -360.0         X  1.130580e-11  1.071290e-11  1.015110e-11  9.618800e-12  9.114400e-12     4.698940     4.326650     3.993590     3.695300     3.426620     3.183390     2.962250    2.760400    2.575540    2.405730    2.249320    2.104940    1.971370    1.847590    1.732670   -3.148490   -3.060420   -3.017030   -2.946710   -2.852250   -2.737180   -2.593990   -2.419260   -2.214230  -1.976600  -1.712560  -1.429470  -1.138510  -0.855165  -0.595382 -0.374377 -0.206000 -0.094980 -0.034558 -0.009175 -1.651230e-03 -6.623980e-06 -7.930030e-10 -7.205350e-12
  -358.0         X  1.140430e-11  1.080620e-11  1.023950e-11  9.702540e-12  9.193730e-12     4.750090     4.373590     4.036790     3.735150     3.463460     3.217540     2.993940    2.789860    2.602960    2.431280    2.273160    2.127200    1.992180    1.867050    1.750890   -3.183440   -3.094350   -3.050470   -2.979340   -2.883800   -2.767420   -2.622580   -2.445860   -2.238500  -1.998170  -1.731160  -1.444890  -1.150700  -0.864239  -0.601634 -0.378262 -0.208109 -0.095938 -0.034901 -0.009265 -1.667050e-03 -6.684880e-06 -7.999990e-10 -7.267950e-12
  -356.0         X  1.150390e-11  1.090060e-11  1.032890e-11  9.787210e-12  9.273950e-12     4.801980     4.421220     4.080610     3.775580     3.500850     3.252170     3.026080    2.819740    2.630770    2.457200    2.297340    2.149780    2.013280    1.886780    1.769360   -3.218920   -3.128800   -3.084410   -3.012460   -2.915820   -2.798100   -2.651600   -2.472850   -2.263120  -2.020060  -1.750030  -1.460540  -1.163070  -0.873444  -0.607975 -0.382200 -0.210247 -0.096909 -0.035248 -0.009355 -1.683070e-03 -6.746500e-06 -8.070740e-10 -7.331250e-12
  -354.0         X  1.160460e-11  1.099600e-11  1.041930e-11  9.872840e-12  9.355080e-12     4.854650     4.469550     4.125080     3.816600     3.538780     3.287310     3.058690    2.850050    2.658980    2.483490    2.321870    2.172680    2.034680    1.906800    1.788090   -3.254930   -3.163770   -3.118870   -3.046090   -2.948320   -2.829240   -2.681050   -2.500250   -2.288120  -2.042280  -1.769170  -1.476420  -1.175620  -0.882781  -0.614406 -0.386194 -0.212414 -0.097893 -0.035600 -0.009447 -1.699290e-03 -6.808870e-06 -8.142310e-10 -7.395260e-12
  -352.0         X  1.170640e-11  1.109240e-11  1.051070e-11  9.959440e-12  9.437120e-12     4.908100     4.518600     4.170200     3.858220     3.577260     3.322960     3.091780    2.880800    2.687600    2.510160    2.346750    2.195910    2.056390    1.927100    1.807100   -3.291490   -3.199270   -3.153840   -3.080220   -2.981320   -2.860860   -2.710950   -2.528060   -2.313480  -2.064830  -1.788600  -1.492530  -1.188340  -0.892252  -0.620928 -0.390244 -0.214611 -0.098891 -0.035957 -0.009540 -1.715710e-03 -6.872000e-06 -8.214690e-10 -7.459990e-12
  -350.0         X  1.180940e-11  1.119000e-11  1.060310e-11  1.004700e-11  9.520090e-12     4.962340     4.568370     4.216000     3.900460     3.616310     3.359140     3.125350    2.912000    2.716640    2.537210    2.371980    2.219470    2.078410    1.947700    1.826370   -3.328610   -3.235310   -3.189350   -3.114860   -3.014810   -2.892950   -2.741300   -2.556290   -2.339230  -2.087710  -1.808320  -1.508880  -1.201260  -0.901860  -0.627543 -0.394351 -0.216839 -0.099902 -0.036319 -0.009635 -1.732350e-03 -6.935890e-06 -8.287920e-10 -7.525450e-12
  -348.0         X  1.191360e-11  1.128870e-11  1.069660e-11  1.013560e-11  9.604000e-12     5.017390     4.618890     4.262470     3.943330     3.655940     3.395840     3.159410    2.943660    2.746100    2.564660    2.397590    2.243380    2.100750    1.968590    1.845920   -3.366290   -3.271900   -3.225400   -3.150040   -3.048820   -2.925530   -2.772110   -2.584950   -2.365370  -2.110930  -1.828330  -1.525470  -1.214360  -0.911608  -0.634253 -0.398516 -0.219098 -0.100927 -0.036685 -0.009730 -1.749200e-03 -7.000570e-06 -8.361980e-10 -7.591650e-12
  -346.0         X  1.201890e-11  1.138850e-11  1.079120e-11  1.022520e-11  9.688870e-12     5.073270     4.670160     4.309630     3.986830     3.696150     3.433090     3.193970    2.975780    2.775990    2.592510    2.423560    2.267630    2.123410    1.989780    1.865750   -3.404550   -3.309050   -3.262000   -3.185750   -3.083340   -2.958610   -2.803390   -2.614040   -2.391900  -2.134510  -1.848640  -1.542300  -1.227660  -0.921498  -0.641060 -0.402740 -0.221388 -0.101966 -0.037057 -0.009827 -1.766270e-03 -7.066030e-06 -8.436910e-10 -7.658600e-12
