Name:B X_Dim:60 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36        37        38        39        40        41        42            43
  -380.0         X  8.516650e-04  8.423960e-04  8.332290e-04  8.241610e-04  8.151930e-04    1.298100    1.278590    1.259410    1.240640    1.222270    1.204290    1.186680    1.169440    1.152540    1.135980    1.119750    1.103840    1.088230    1.072930    1.057920  -0.255485  -0.253938  -0.253158  -0.251865  -0.250072  -0.247796  -0.244811  -0.240917  -0.235951  -0.229572  -0.221542 -0.211553 -0.199327 -0.184721 -0.167686 -0.148311 -0.127111 -0.104840 -0.082415 -0.060945 -0.041880 -0.013181 -0.002080 -7.994880e-04
  -378.0         X  8.605180e-04  8.511530e-04  8.418890e-04  8.327270e-04  8.236650e-04    1.312180    1.292460    1.273070    1.254100    1.235530    1.217350    1.199540    1.182110    1.165020    1.148280    1.131880    1.115790    1.100020    1.084540    1.069370  -0.258289  -0.256726  -0.255937  -0.254630  -0.252817  -0.250516  -0.247498  -0.243561  -0.238540  -0.232091  -0.223972 -0.213873 -0.201512 -0.186744 -0.169521 -0.149931 -0.128497 -0.105980 -0.083309 -0.061603 -0.042329 -0.013321 -0.002102 -8.077980e-04
  -376.0         X  8.694950e-04  8.600320e-04  8.506710e-04  8.414130e-04  8.322560e-04    1.326470    1.306530    1.286930    1.267750    1.248970    1.230590    1.212600    1.194970    1.177690    1.160770    1.144180    1.127920    1.111970    1.096330    1.080980  -0.261136  -0.259555  -0.258757  -0.257436  -0.255603  -0.253276  -0.250225  -0.246245  -0.241168  -0.234647  -0.226438 -0.216227 -0.203729 -0.188797 -0.171383 -0.151576 -0.129903 -0.107137 -0.084215 -0.062270 -0.042786 -0.013462 -0.002124 -8.162240e-04
  -374.0         X  8.785990e-04  8.690350e-04  8.595760e-04  8.502210e-04  8.409670e-04    1.340980    1.320820    1.301000    1.281600    1.262620    1.244040    1.225840    1.208010    1.190550    1.173440    1.156670    1.140220    1.124100    1.108280    1.092770  -0.264025  -0.262427  -0.261620  -0.260284  -0.258431  -0.256078  -0.252993  -0.248969  -0.243835  -0.237242  -0.228941 -0.218617 -0.205979 -0.190881 -0.173273 -0.153245 -0.131331 -0.108311 -0.085135 -0.062947 -0.043248 -0.013606 -0.002146 -8.247680e-04
  -372.0         X  8.878310e-04  8.781660e-04  8.686070e-04  8.591530e-04  8.498010e-04    1.355690    1.335310    1.315270    1.295660    1.276470    1.257680    1.239280    1.221250    1.203600    1.186300    1.169340    1.152710    1.136410    1.120420    1.104730  -0.266958  -0.265342  -0.264526  -0.263175  -0.261301  -0.258922  -0.255803  -0.251733  -0.246543  -0.239875  -0.231482 -0.221042 -0.208263 -0.192996 -0.175191 -0.154939 -0.132780 -0.109503 -0.086068 -0.063634 -0.043718 -0.013752 -0.002169 -8.334330e-04
  -370.0         X  8.971930e-04  8.874260e-04  8.777660e-04  8.682110e-04  8.587610e-04    1.370630    1.350020    1.329760    1.309930    1.290520    1.271520    1.252920    1.234690    1.216840    1.199340    1.182200    1.165380    1.148900    1.132730    1.116870  -0.269935  -0.268301  -0.267476  -0.266109  -0.264215  -0.261809  -0.258655  -0.254540  -0.249291  -0.242548  -0.234061 -0.223504 -0.210582 -0.195143 -0.177138 -0.156658 -0.134250 -0.110712 -0.087016 -0.064332 -0.044195 -0.013900 -0.002192 -8.422200e-04
  -368.0         X  9.066880e-04  8.968170e-04  8.870540e-04  8.773980e-04  8.678470e-04    1.385790    1.364950    1.344460    1.324410    1.304780    1.285570    1.266760    1.248330    1.230280    1.212590    1.195250    1.178250    1.161580    1.145230    1.129190  -0.272957  -0.271304  -0.270470  -0.269088  -0.267172  -0.264740  -0.261550  -0.257388  -0.252080  -0.245262  -0.236679 -0.226003 -0.212935 -0.197323 -0.179114 -0.158404 -0.135743 -0.111940 -0.087977 -0.065039 -0.044678 -0.014050 -0.002215 -8.511320e-04
  -366.0         X  9.163190e-04  9.063430e-04  8.964750e-04  8.867160e-04  8.770630e-04    1.401180    1.380100    1.359380    1.339110    1.319260    1.299830    1.280810    1.262170    1.243920    1.226030    1.208490    1.191300    1.174450    1.157910    1.141700  -0.276025  -0.274354  -0.273510  -0.272113  -0.270175  -0.267715  -0.264489  -0.260280  -0.254912  -0.248017  -0.239337 -0.228541 -0.215325 -0.199535 -0.181120 -0.160175 -0.137258 -0.113186 -0.088953 -0.065758 -0.045169 -0.014202 -0.002239 -8.601720e-04
  -364.0         X  9.260880e-04  9.160040e-04  9.060310e-04  8.961670e-04  8.864110e-04    1.416800    1.395490    1.374530    1.354020    1.333960    1.314310    1.295070    1.276220    1.257760    1.239670    1.221940    1.204550    1.187510    1.170790    1.154390  -0.279140  -0.277450  -0.276596  -0.275183  -0.273223  -0.270736  -0.267473  -0.263217  -0.257788  -0.250814  -0.242036 -0.231116 -0.217750 -0.201781 -0.183157 -0.161974 -0.138796 -0.114451 -0.089943 -0.066487 -0.045667 -0.014357 -0.002263 -8.693400e-04
  -362.0         X  9.359960e-04  9.258050e-04  9.157240e-04  9.057540e-04  8.958930e-04    1.432660    1.411100    1.389910    1.369170    1.348870    1.329000    1.309550    1.290490    1.271820    1.253520    1.235590    1.218010    1.200770    1.183860    1.167270  -0.282303  -0.280593  -0.279730  -0.278301  -0.276319  -0.273803  -0.270503  -0.266198  -0.260707  -0.253654  -0.244776 -0.233732 -0.220213 -0.204062 -0.185225 -0.163800 -0.140358 -0.115735 -0.090949 -0.067226 -0.046172 -0.014514 -0.002287 -8.786400e-04
