Name:B X_Dim:600 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40          41         42         43
  -380.0         X   0.398496   0.397575   0.396658   0.395744   0.394832     38.314000     38.169500     38.025600     37.882900     37.741600     37.601400     37.462500     37.324800     37.188200     37.052800     36.918600     36.785400     36.653400     36.522400     36.392600    -1.661160    -1.656240    -1.653740    -1.649600    -1.643830    -1.636460    -1.626730    -1.613900    -1.597330    -1.575690    -1.547860    -1.512300    -1.467280    -1.411200   -1.342460   -1.259550   -1.162550   -1.052780   -0.932779   -0.806554   -0.680772   -0.433417  -0.244398  -0.189707
  -378.0         X   0.401558   0.400630   0.399705   0.398783   0.397864     38.621200     38.475400     38.330200     38.186300     38.043600     37.902200     37.762100     37.623100     37.485300     37.348700     37.213200     37.078900     36.945700     36.813600     36.682500    -1.676610    -1.671640    -1.669120    -1.664930    -1.659110    -1.651670    -1.641840    -1.628890    -1.612160    -1.590310    -1.562210    -1.526310    -1.480850    -1.424240   -1.354830   -1.271130   -1.173190   -1.062370   -0.941221   -0.813796   -0.686825   -0.437163  -0.246430  -0.191257
  -376.0         X   0.404648   0.403713   0.402780   0.401850   0.400924     38.931500     38.784400     38.637800     38.492600     38.348700     38.206000     38.064500     37.924300     37.785300     37.647500     37.510800     37.375200     37.240800     37.107500     36.975300    -1.692230    -1.687210    -1.684670    -1.680450    -1.674560    -1.667050    -1.657130    -1.644050    -1.627160    -1.605100    -1.576730    -1.540480    -1.494580    -1.437420   -1.367350   -1.282830   -1.183960   -1.072070   -0.949759   -0.821119   -0.692945   -0.440950  -0.248483  -0.192821
  -374.0         X   0.407767   0.406824   0.405883   0.404946   0.404011     39.244800     39.096300     38.948400     38.801900     38.656700     38.512700     38.370000     38.228500     38.088200     37.949100     37.811200     37.674500     37.538800     37.404300     37.270900    -1.708050    -1.702980    -1.700410    -1.696140    -1.690210    -1.682620    -1.672600    -1.659400    -1.642340    -1.620060    -1.591420    -1.554820    -1.508470    -1.450760   -1.380010   -1.294680   -1.194840   -1.081880   -0.958395   -0.828525   -0.699133   -0.444777  -0.250556  -0.194402
  -372.0         X   0.410914   0.409963   0.409014   0.408069   0.407126     39.561100     39.411300     39.262100     39.114200     38.967700     38.822400     38.678400     38.535600     38.394100     38.253700     38.114600     37.976600     37.839700     37.704000     37.569400    -1.724050    -1.718930    -1.716330    -1.712030    -1.706030    -1.698370    -1.688250    -1.674920    -1.657700    -1.635200    -1.606280    -1.569320    -1.522530    -1.464260   -1.392820   -1.306660   -1.205860   -1.091800   -0.967129   -0.836015   -0.705390   -0.448645  -0.252651  -0.195997
  -370.0         X   0.414089   0.413130   0.412174   0.411221   0.410270     39.880600     39.729400     39.578800     39.429600     39.281700     39.135100     38.989800     38.845700     38.702900     38.561300     38.420900     38.281600     38.143600     38.006600     37.870800    -1.740240    -1.735070    -1.732450    -1.728100    -1.722040    -1.714310    -1.704090    -1.690630    -1.673240    -1.650530    -1.621320    -1.584000    -1.536750    -1.477910   -1.405780   -1.318780   -1.217000   -1.101840   -0.975963   -0.843589   -0.711717   -0.452554  -0.254766  -0.197609
  -368.0         X   0.417294   0.416327   0.415362   0.414401   0.413443     40.203200     40.050600     39.898700     39.748100     39.598900     39.450900     39.304300     39.158900     39.014800     38.871900     38.730200     38.589700     38.450300     38.312200     38.175100    -1.756620    -1.751400    -1.748750    -1.744360    -1.738250    -1.730440    -1.720120    -1.706530    -1.688970    -1.666030    -1.636540    -1.598850    -1.551140    -1.491730   -1.418890   -1.331040   -1.228270   -1.111990   -0.984898   -0.851249   -0.718114   -0.456505  -0.256904  -0.199236
  -366.0         X   0.420527   0.419552   0.418580   0.417610   0.416644     40.528900     40.375000     40.221600     40.069700     39.919100     39.769800     39.621800     39.475100     39.329700     39.185500     39.042500     38.900700     38.760100     38.620700     38.482400    -1.773200    -1.767920    -1.765250    -1.760820    -1.754650    -1.746760    -1.736340    -1.722610    -1.704880    -1.681720    -1.651940    -1.613880    -1.565700    -1.505710   -1.432150   -1.343450   -1.239680   -1.122260   -0.993936   -0.858995   -0.724583   -0.460499  -0.259062  -0.200880
  -364.0         X   0.423790   0.422807   0.421826   0.420849   0.419874     40.857900     40.702500     40.547800     40.394400     40.242500     40.091800     39.942500     39.794400     39.647700     39.502100     39.357900     39.214800     39.072900     38.932200     38.792600    -1.789970    -1.784650    -1.781950    -1.777470    -1.771240    -1.763280    -1.752750    -1.738890    -1.720980    -1.697590    -1.667520    -1.629090    -1.580440    -1.519850   -1.445570   -1.356000   -1.251210   -1.132650   -1.003080   -0.866830   -0.731124   -0.464535  -0.261243  -0.202540
  -362.0         X   0.427083   0.426091   0.425102   0.424116   0.423134     41.190000     41.033300     40.877100     40.722400     40.569000     40.417000     40.266300     40.116900     39.968700     39.821900     39.676300     39.531900     39.388700     39.246700     39.105900    -1.806950    -1.801570    -1.798850    -1.794330    -1.788030    -1.779990    -1.769360    -1.755360    -1.737280    -1.713660    -1.683290    -1.644480    -1.595350    -1.534160   -1.459150   -1.368700   -1.262880   -1.143160   -1.012320   -0.874753   -0.737739   -0.468615  -0.263446  -0.204216
  -360.0         X   0.430406   0.429405   0.428408   0.427414   0.426423     41.525500     41.367300     41.209700     41.053500     40.898700     40.745300     40.593200     40.442400     40.293000     40.144800     39.997800     39.852100     39.707600     39.564300     39.422200    -1.824130    -1.818700    -1.815950    -1.811380    -1.805020    -1.796900    -1.786170    -1.772030    -1.753770    -1.729910    -1.699240    -1.660050    -1.610430    -1.548640   -1.472900   -1.381550   -1.274690   -1.153790   -1.021680   -0.882767   -0.744427   -0.472739  -0.265671  -0.205909
  -358.0         X   0.433758   0.432749   0.431744   0.430741   0.429741     41.864200     41.704600     41.545500     41.387900     41.231700     41.076800     40.923400     40.771200     40.620400     40.470800     40.322500     40.175500     40.029600     39.885000     39.741600    -1.841520    -1.836030    -1.833260    -1.828640    -1.822220    -1.814020    -1.803180    -1.788900    -1.770460    -1.746370    -1.715390    -1.675810    -1.625700    -1.563300   -1.486800   -1.394550   -1.286640   -1.164550   -1.031140   -0.890872   -0.751191   -0.476907  -0.267919  -0.207618
  -356.0         X   0.437141   0.436124   0.435109   0.434098   0.433090     42.206300     42.045200     41.884600     41.725600     41.567900     41.411600     41.256700     41.103200     40.950900     40.800000     40.650300     40.501900     40.354800     40.208800     40.064100    -1.859110    -1.853580    -1.850770    -1.846110    -1.839630    -1.831340    -1.820400    -1.805980    -1.787350    -1.763020    -1.731730    -1.691760    -1.641150    -1.578130   -1.500870   -1.407710   -1.298730   -1.175430   -1.040710   -0.899070   -0.758031   -0.481120  -0.270190  -0.209345
