Name:B X_Dim:120 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component         0         1         2         3         4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39        40        41        42        43
  -380.0         X  0.018972  0.018862  0.018753  0.018645  0.018537     4.410860     4.373520     4.336460     4.299860     4.263710     4.228000     4.192730     4.157890     4.123470     4.089460     4.055860     4.022660     3.989840     3.957410     3.925360  -0.500459  -0.498638  -0.497715  -0.496183  -0.494051  -0.491329  -0.487734  -0.483002  -0.476895  -0.468931  -0.458709  -0.445676  -0.429226  -0.408821  -0.383931  -0.354107  -0.319501  -0.280752  -0.238968  -0.195804 -0.153852 -0.076558 -0.027385 -0.016401
  -378.0         X  0.019159  0.019048  0.018938  0.018828  0.018720     4.457170     4.419420     4.381960     4.344960     4.308410     4.272320     4.236670     4.201450     4.166650     4.132280     4.098310     4.064740     4.031570     3.998790     3.966390  -0.505917  -0.504074  -0.503142  -0.501593  -0.499436  -0.496684  -0.493049  -0.488264  -0.482089  -0.474035  -0.463698  -0.450520  -0.433886  -0.413253  -0.388086  -0.357929  -0.322938  -0.283760  -0.241514  -0.197877 -0.155467 -0.077345 -0.027660 -0.016564
  -376.0         X  0.019349  0.019237  0.019125  0.019015  0.018905     4.504140     4.465980     4.428100     4.390700     4.353760     4.317270     4.281230     4.245620     4.210450     4.175700     4.141360     4.107430     4.073900     4.040760     4.008000  -0.511455  -0.509592  -0.508648  -0.507082  -0.504901  -0.502118  -0.498442  -0.493604  -0.487359  -0.479215  -0.468762  -0.455436  -0.438615  -0.417751  -0.392301  -0.361807  -0.326426  -0.286811  -0.244097  -0.199979 -0.157106 -0.078143 -0.027937 -0.016728
  -374.0         X  0.019541  0.019428  0.019315  0.019203  0.019092     4.551780     4.513200     4.474900     4.437090     4.399740     4.362860     4.326420     4.290430     4.254870     4.219730     4.185020     4.150720     4.116820     4.083320     4.050210  -0.517075  -0.515191  -0.514237  -0.512653  -0.510448  -0.507633  -0.503916  -0.499022  -0.492707  -0.484471  -0.473900  -0.460424  -0.443414  -0.422314  -0.396579  -0.365742  -0.329964  -0.289907  -0.246718  -0.202112 -0.158768 -0.078951 -0.028219 -0.016895
  -372.0         X  0.019735  0.019621  0.019508  0.019395  0.019282     4.600100     4.561090     4.522380     4.484150     4.446390     4.409100     4.372260     4.335870     4.299920     4.264400     4.229310     4.194630     4.160360     4.126490     4.093010  -0.522779  -0.520874  -0.519909  -0.518307  -0.516077  -0.513230  -0.509471  -0.504522  -0.498135  -0.489806  -0.479115  -0.465486  -0.448284  -0.426946  -0.400920  -0.369735  -0.333555  -0.293048  -0.249377  -0.204275 -0.160453 -0.079771 -0.028504 -0.017064
  -370.0         X  0.019932  0.019817  0.019702  0.019588  0.019475     4.649110     4.609670     4.570530     4.531880     4.493700     4.456000     4.418760     4.381960     4.345620     4.309710     4.274220     4.239160     4.204520     4.170270     4.136430  -0.528569  -0.526642  -0.525666  -0.524046  -0.521790  -0.518911  -0.515109  -0.510104  -0.503644  -0.495221  -0.484408  -0.470624  -0.453226  -0.431646  -0.405325  -0.373787  -0.337198  -0.296236  -0.252074  -0.206470 -0.162163 -0.080603 -0.028794 -0.017236
  -368.0         X  0.020132  0.020016  0.019900  0.019785  0.019670     4.698830     4.658960     4.619380     4.580300     4.541700     4.503580     4.465920     4.428720     4.391970     4.355660     4.319790     4.284340     4.249310     4.214690     4.180470  -0.534445  -0.532496  -0.531510  -0.529871  -0.527589  -0.524677  -0.520832  -0.515769  -0.509236  -0.500716  -0.489780  -0.475839  -0.458243  -0.436417  -0.409796  -0.377900  -0.340896  -0.299470  -0.254811  -0.208696 -0.163897 -0.081446 -0.029087 -0.017409
  -366.0         X  0.020335  0.020217  0.020100  0.019984  0.019868     4.749270     4.708950     4.668940     4.629420     4.590390     4.551840     4.513770     4.476150     4.439000     4.402280     4.366010     4.330170     4.294750     4.259740     4.225150  -0.540411  -0.538439  -0.537441  -0.535784  -0.533476  -0.530530  -0.526641  -0.521520  -0.514912  -0.506295  -0.495233  -0.481133  -0.463335  -0.441259  -0.414334  -0.382073  -0.344648  -0.302752  -0.257589  -0.210955 -0.165657 -0.082301 -0.029384 -0.017585
  -364.0         X  0.020540  0.020421  0.020303  0.020185  0.020069     4.800450     4.759680     4.719210     4.679250     4.639790     4.600810     4.562310     4.524280     4.486700     4.449580     4.412900     4.376660     4.340850     4.305450     4.270470  -0.546466  -0.544472  -0.543463  -0.541786  -0.539451  -0.536472  -0.532538  -0.527359  -0.520674  -0.511957  -0.500769  -0.486506  -0.468503  -0.446174  -0.418939  -0.386310  -0.348457  -0.306083  -0.260407  -0.213248 -0.167442 -0.083168 -0.029686 -0.017764
  -362.0         X  0.020748  0.020628  0.020509  0.020390  0.020272     4.852370     4.811140     4.770220     4.729810     4.689900     4.650490     4.611560     4.573100     4.535100     4.497560     4.460480     4.423830     4.387610     4.351820     4.316450  -0.552614  -0.550597  -0.549576  -0.547879  -0.545518  -0.542504  -0.538524  -0.533285  -0.526524  -0.517706  -0.506388  -0.491960  -0.473750  -0.451163  -0.423615  -0.390610  -0.352322  -0.309464  -0.263267  -0.215573 -0.169253 -0.084048 -0.029991 -0.017944
