Name:A X_Dim:600 Y_Dim:60 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35         36         37        38            39            40            41            42            43
  -380.0         X  3.175220e-21  2.852230e-21  2.562090e-21  2.301470e-21  2.067350e-21     5.125640     4.468200     3.920010     3.456900     3.060240     2.716980     2.417620     2.155000     1.923550     1.718850     1.537290     1.375900     1.232170     1.103980     0.989526    -4.401710    -4.210560    -4.118160    -3.970740    -3.777070    -3.547480    -3.270740    -2.945410    -2.579430    -2.174950    -1.749500    -1.322790    -0.921103   -0.575322   -0.310308   -0.136829  -0.046196  -0.010951 -0.001620 -1.278850e-04 -4.640340e-06 -9.419660e-11 -1.620770e-18 -1.403070e-22
  -378.0         X  3.211420e-21  2.884740e-21  2.591300e-21  2.327710e-21  2.090930e-21     5.182230     4.517530     3.963280     3.495060     3.094030     2.746980     2.444320     2.178800     1.944800     1.737840     1.554280     1.391100     1.245790     1.116190     1.000470    -4.450290    -4.257030    -4.163600    -4.014560    -3.818750    -3.586620    -3.306820    -2.977910    -2.607890    -2.198950    -1.768810    -1.337390    -0.931279   -0.581683   -0.313742   -0.138345  -0.046708  -0.011073 -0.001638 -1.293140e-04 -4.692310e-06 -9.526010e-11 -1.639280e-18 -1.419200e-22
  -376.0         X  3.248150e-21  2.917740e-21  2.620940e-21  2.354330e-21  2.114850e-21     5.239600     4.567540     4.007150     3.533750     3.128280     2.777400     2.471390     2.202930     1.966340     1.757090     1.571500     1.406520     1.259600     1.128560     1.011560    -4.499550    -4.304150    -4.209680    -4.058990    -3.861010    -3.626310    -3.343420    -3.010860    -2.636750    -2.223280    -1.788390    -1.352200    -0.941596   -0.588132   -0.317224   -0.139882  -0.047228  -0.011196 -0.001656 -1.307620e-04 -4.745020e-06 -9.633900e-11 -1.658070e-18 -1.435560e-22
  -374.0         X  3.285410e-21  2.951220e-21  2.651020e-21  2.381350e-21  2.139120e-21     5.297780     4.618250     4.051640     3.572990     3.163020     2.808240     2.498840     2.227400     1.988190     1.776620     1.588960     1.422150     1.273600     1.141110     1.022810    -4.549500    -4.351920    -4.256410    -4.104040    -3.903860    -3.666560    -3.380520    -3.044270    -2.666020    -2.247960    -1.808240    -1.367220    -0.952058   -0.594671   -0.320754   -0.141440  -0.047755  -0.011322 -0.001674 -1.322310e-04 -4.798490e-06 -9.743350e-11 -1.677130e-18 -1.452170e-22
  -372.0         X  3.323230e-21  2.985190e-21  2.681540e-21  2.408770e-21  2.163750e-21     5.356780     4.669670     4.096760     3.612770     3.198240     2.839520     2.526670     2.252220     2.010340     1.796410     1.606670     1.438000     1.287800     1.153830     1.034210    -4.600140    -4.400370    -4.303790    -4.149720    -3.947310    -3.707360    -3.418140    -3.078150    -2.695690    -2.272980    -1.828370    -1.382450    -0.962667   -0.601302   -0.324335   -0.143021  -0.048290  -0.011449 -0.001693 -1.337210e-04 -4.852720e-06 -9.854390e-11 -1.696480e-18 -1.469020e-22
  -370.0         X  3.361610e-21  3.019670e-21  2.712510e-21  2.436590e-21  2.188740e-21     5.416600     4.721820     4.142500     3.653120     3.233960     2.871230     2.554890     2.277380     2.032800     1.816490     1.624630     1.454080     1.302190     1.166740     1.045780    -4.651500    -4.449490    -4.351830    -4.196040    -3.991370    -3.748740    -3.456290    -3.112510    -2.725780    -2.298350    -1.848790    -1.397890    -0.973424   -0.608027   -0.327965   -0.144624  -0.048832  -0.011577 -0.001712 -1.352320e-04 -4.907730e-06 -9.967040e-11 -1.716110e-18 -1.486130e-22
  -368.0         X  3.400560e-21  3.054660e-21  2.743940e-21  2.464830e-21  2.214110e-21     5.477260     4.774700     4.188890     3.694030     3.270180     2.903390     2.583510     2.302890     2.055580     1.836850     1.642840     1.470380     1.316800     1.179820     1.057510    -4.703580    -4.499310    -4.400560    -4.243020    -4.036050    -3.790710    -3.494980    -3.147350    -2.756290    -2.324080    -1.869490    -1.413550    -0.984334   -0.614846   -0.331647   -0.146250  -0.049382  -0.011708 -0.001732 -1.367650e-04 -4.963530e-06 -1.008130e-10 -1.736040e-18 -1.503500e-22
  -366.0         X  3.440090e-21  3.090170e-21  2.775840e-21  2.493490e-21  2.239860e-21     5.538790     4.828330     4.235940     3.735520     3.306910     2.936010     2.612540     2.328770     2.078680     1.857490     1.661310     1.486910     1.331600     1.193090     1.069410    -4.756400    -4.549830    -4.449960    -4.290650    -4.081360    -3.833260    -3.534220    -3.182680    -2.787230    -2.350180    -1.890480    -1.429430    -0.995397   -0.621762   -0.335381   -0.147899  -0.049939  -0.011840 -0.001751 -1.383200e-04 -5.020130e-06 -1.019730e-10 -1.756260e-18 -1.521130e-22
  -364.0         X  3.480210e-21  3.126210e-21  2.808220e-21  2.522570e-21  2.265990e-21     5.601180     4.882710     4.283650     3.777600     3.344160     2.969080     2.641980     2.355010     2.102110     1.878430     1.680040     1.503680     1.346620     1.206550     1.081470    -4.809970    -4.601060    -4.500070    -4.338970    -4.127320    -3.876420    -3.574010    -3.218510    -2.818610    -2.376640    -1.911770    -1.445530    -1.006620   -0.628775   -0.339168   -0.149571  -0.050505  -0.011975 -0.001771 -1.398970e-04 -5.077560e-06 -1.031500e-10 -1.776790e-18 -1.539030e-22
  -362.0         X  3.520930e-21  3.162790e-21  2.841080e-21  2.552100e-21  2.292510e-21     5.664460     4.937870     4.332040     3.820270     3.381940     3.002630     2.671830     2.381630     2.125870     1.899660     1.699030     1.520680     1.361850     1.220200     1.093710    -4.864290    -4.653030    -4.550890    -4.387960    -4.173920    -3.920190    -3.614360    -3.254850    -2.850430    -2.403480    -1.933370    -1.461860    -1.018000   -0.635889   -0.343009   -0.151267  -0.051078  -0.012111 -0.001791 -1.414970e-04 -5.135810e-06 -1.043440e-10 -1.797630e-18 -1.557200e-22
