Name:B X_Dim:600 Y_Dim:60 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40         41         42            43
  -380.0         X  4.169580e-03  4.125030e-03  4.080950e-03  4.037340e-03  3.994190e-03     5.477890     5.398610     5.320670     5.244410     5.169780     5.096710     5.025160     4.955080     4.886410     4.819110     4.753140     4.688450     4.625000     4.562760     4.501690    -1.037790    -1.031530    -1.028370    -1.023140    -1.015890    -1.006690    -0.994627    -0.978912    -0.958892    -0.933215    -0.900955    -0.860922    -0.812057    -0.753861   -0.686207   -0.609466   -0.525598   -0.437341   -0.347910   -0.261220   -0.182793  -0.060257  -0.009996 -3.916170e-03
  -378.0         X  4.215860e-03  4.170810e-03  4.126240e-03  4.082150e-03  4.038530e-03     5.538370     5.458210     5.379410     5.302310     5.226850     5.152980     5.080640     5.009780     4.940350     4.872310     4.805610     4.740200     4.676060     4.613130     4.551390    -1.049260    -1.042930    -1.039730    -1.034440    -1.027110    -1.017810    -1.005610    -0.989725    -0.969483    -0.943521    -0.910904    -0.870428    -0.821022    -0.762182   -0.693779   -0.616190   -0.531396   -0.442165   -0.351748   -0.264102   -0.184811  -0.060923  -0.010107 -3.959640e-03
  -376.0         X  4.262790e-03  4.217240e-03  4.172180e-03  4.127590e-03  4.083490e-03     5.599700     5.518650     5.438970     5.361020     5.284720     5.210030     5.136890     5.065250     4.995050     4.926250     4.858810     4.792680     4.727830     4.664200     4.601770    -1.060880    -1.054480    -1.051250    -1.045900    -1.038490    -1.029080    -1.016760    -1.000690    -0.980222    -0.953972    -0.920992    -0.880067    -0.830112    -0.770619   -0.701458   -0.623008   -0.537275   -0.447056   -0.355639   -0.267025   -0.186856  -0.061599  -0.010219 -4.003710e-03
  -374.0         X  4.310380e-03  4.264320e-03  4.218750e-03  4.173670e-03  4.129080e-03     5.661880     5.579930     5.499370     5.420550     5.343400     5.267880     5.193930     5.121490     5.050510     4.980950     4.912760     4.845900     4.780320     4.715990     4.652870    -1.072670    -1.066200    -1.062930    -1.057520    -1.050030    -1.040520    -1.028050    -1.011810    -0.991112    -0.964569    -0.931222    -0.889840    -0.839329    -0.779174   -0.709243   -0.629922   -0.543236   -0.452015   -0.359585   -0.269988   -0.188931  -0.062284  -0.010333 -4.048410e-03
  -372.0         X  4.358640e-03  4.312070e-03  4.265990e-03  4.220410e-03  4.175310e-03     5.724930     5.642070     5.560610     5.480910     5.402910     5.326540     5.251770     5.178520     5.106750     5.036410     4.967460     4.899860     4.833550     4.768500     4.704680    -1.084630    -1.078080    -1.074780    -1.069310    -1.061730    -1.052110    -1.039510    -1.023080    -1.002150    -0.975314    -0.941595    -0.899751    -0.848675    -0.787849   -0.717137   -0.636932   -0.549280   -0.457044   -0.363585   -0.272992   -0.191034  -0.062978  -0.010449 -4.093740e-03
  -370.0         X  4.407580e-03  4.360490e-03  4.313890e-03  4.267800e-03  4.222200e-03     5.788870     5.705080     5.622710     5.542120     5.463250     5.386030     5.310410     5.236350     5.163780     5.092660     5.022940     4.954570     4.887520     4.821750     4.757210    -1.096750    -1.090130    -1.086790    -1.081260    -1.073600    -1.063870    -1.051120    -1.034510    -1.013350    -0.986211    -0.952113    -0.909800    -0.858153    -0.796645   -0.725143   -0.644041   -0.555409   -0.462144   -0.367642   -0.276039   -0.193167  -0.063682  -0.010566 -4.139710e-03
  -368.0         X  4.457220e-03  4.409590e-03  4.362480e-03  4.315860e-03  4.269750e-03     5.853710     5.768980     5.685690     5.604190     5.524440     5.446350     5.369890     5.294990     5.221610     5.149690     5.079190     5.010060     4.942260     4.875750     4.810490    -1.109040    -1.102350    -1.098970    -1.093380    -1.085630    -1.075790    -1.062900    -1.046110    -1.024710    -0.997262    -0.962780    -0.919992    -0.867764    -0.805566   -0.733261   -0.651249   -0.561625   -0.467315   -0.371756   -0.279128   -0.195330  -0.064397  -0.010685 -4.186330e-03
  -366.0         X  4.507560e-03  4.459400e-03  4.411750e-03  4.364610e-03  4.317980e-03     5.919470     5.833790     5.749560     5.667140     5.586490     5.507530     5.430210     5.354470     5.280260     5.207530     5.136240     5.066330     4.997770     4.930510     4.864520    -1.121510    -1.114740    -1.111330    -1.105670    -1.097830    -1.087890    -1.074850    -1.057860    -1.036220    -1.008470    -0.973598    -0.930327    -0.877511    -0.814613   -0.741494   -0.658560   -0.567928   -0.472559   -0.375928   -0.282261   -0.197523  -0.065121  -0.010805 -4.233620e-03
  -364.0         X  4.558620e-03  4.509920e-03  4.461730e-03  4.414050e-03  4.366890e-03     5.986160     5.899510     5.814330     5.730990     5.649420     5.569570     5.491380     5.414780     5.339740     5.266190     5.194090     5.123400     5.054060     4.986050     4.919310    -1.134160    -1.127310    -1.123860    -1.118140    -1.110210    -1.100150    -1.086970    -1.069790    -1.047900    -1.019830    -0.984569    -0.940809    -0.887396    -0.823787   -0.749843   -0.665974   -0.574320   -0.477878   -0.380159   -0.285439   -0.199747  -0.065856  -0.010928 -4.281570e-03
  -362.0         X  4.610410e-03  4.561150e-03  4.512420e-03  4.464200e-03  4.416510e-03     6.053790     5.966160     5.880020     5.795730     5.713250     5.632490     5.553410     5.475950     5.400060     5.325680     5.252770     5.181280     5.111160     5.042370     4.974880    -1.146980    -1.140060    -1.136560    -1.130780    -1.122760    -1.112590    -1.099260    -1.081880    -1.059750    -1.031360    -0.995697    -0.951440    -0.897422    -0.833092   -0.758311   -0.673493   -0.580803   -0.483272   -0.384450   -0.288661   -0.202003  -0.066601  -0.011052 -4.330220e-03
  -360.0         X  4.662950e-03  4.613120e-03  4.563830e-03  4.515070e-03  4.466830e-03     6.122390     6.033760     5.946640     5.861400     5.777980     5.696310     5.616330     5.538000     5.461240     5.386020     5.312280     5.239980     5.169060     5.099500     5.031240    -1.159990    -1.152990    -1.149450    -1.143600    -1.135490    -1.125200    -1.111720    -1.094150    -1.071760    -1.043050    -1.006980    -0.962223    -0.907590    -0.842530   -0.766899   -0.681119   -0.587379   -0.488742   -0.388802   -0.291929   -0.204291  -0.067356  -0.011177 -4.379560e-03
  -358.0         X  4.716230e-03  4.665840e-03  4.615990e-03  4.566670e-03  4.517880e-03     6.191960     6.102330     6.014220     5.928010     5.843640     5.761040     5.680150     5.600920     5.523300     5.447220     5.372640     5.299510     5.227800     5.157440     5.088410    -1.173180    -1.166100    -1.162520    -1.156610    -1.148410    -1.138000    -1.124360    -1.106590    -1.083950    -1.054910    -1.018430    -0.973159    -0.917904    -0.852102   -0.775610   -0.688853   -0.594048   -0.494290   -0.393216   -0.295244   -0.206612  -0.068123  -0.011305 -4.429610e-03
  -356.0         X  4.770280e-03  4.719320e-03  4.668890e-03  4.619010e-03  4.569660e-03     6.262530     6.171880     6.082760     5.995570     5.910230     5.826690     5.744880     5.664750     5.586240     5.509290     5.433860     5.359900     5.287370     5.216210     5.146390    -1.186560    -1.179400    -1.175780    -1.169800    -1.161500    -1.150980    -1.137190    -1.119210    -1.096310    -1.066940    -1.030040    -0.984252    -0.928365    -0.861811   -0.784446   -0.696699   -0.600812   -0.499918   -0.397693   -0.298606   -0.208966  -0.068900  -0.011435 -4.480370e-03
  -354.0         X  4.825120e-03  4.773560e-03  4.722560e-03  4.672110e-03  4.622190e-03     6.334120     6.242420     6.152280     6.064090     5.977780     5.893280     5.810540     5.729490     5.650080     5.572260     5.495960     5.421160     5.347790     5.275820     5.205200    -1.200140    -1.192890    -1.189230    -1.183180    -1.174790    -1.164140    -1.150190    -1.132010    -1.108850    -1.079140    -1.041820    -0.995504    -0.938976    -0.871659   -0.793408   -0.704656   -0.607673   -0.505626   -0.402234   -0.302016   -0.211353  -0.069689  -0.011566 -4.531880e-03
  -352.0         X  4.880740e-03  4.828600e-03  4.777010e-03  4.725970e-03  4.675480e-03     6.406730     6.313980     6.222810     6.133610     6.046300     5.960840     5.877140     5.795160     5.714840     5.636120     5.558960     5.483290     5.409090     5.336290     5.264860    -1.213910    -1.206580    -1.202880    -1.196760    -1.188270    -1.177500    -1.163390    -1.145000    -1.121570    -1.091520    -1.053760    -1.006920    -0.949740    -0.881649   -0.802499   -0.712728   -0.614632   -0.511416   -0.406840   -0.305476   -0.213775  -0.070489  -0.011699 -4.584120e-03
  -350.0         X  4.937180e-03  4.884430e-03  4.832240e-03  4.780620e-03  4.729540e-03     6.480390     6.386570     6.294350     6.204120     6.115810     6.029360     5.944710     5.861780     5.780540     5.700910     5.622860     5.546320     5.471260     5.397630     5.325380    -1.227870    -1.220460    -1.216720    -1.210530    -1.201940    -1.191050    -1.176770    -1.158170    -1.134470    -1.104070    -1.065880    -1.018500    -0.960659    -0.891783   -0.811721   -0.720917   -0.621692   -0.517290   -0.411512   -0.308985   -0.216232  -0.071300  -0.011834 -4.637130e-03
  -348.0         X  4.994430e-03  4.941070e-03  4.888280e-03  4.836060e-03  4.784390e-03     6.555110     6.460210     6.366920     6.275650     6.186330     6.098880     6.013240     5.929360     5.847180     5.766640     5.687680     5.610270     5.534340     5.459850     5.386770    -1.242050    -1.234550    -1.230760    -1.224500    -1.215810    -1.204790    -1.190350    -1.171530    -1.147560    -1.116810    -1.078180    -1.030240    -0.971735    -0.902063   -0.821076   -0.729223   -0.628854   -0.523248   -0.416252   -0.312544   -0.218724  -0.072123  -0.011971 -4.690900e-03
  -346.0         X  5.052520e-03  4.998540e-03  4.945140e-03  4.892310e-03  4.840040e-03     6.630910     6.534920     6.440550     6.348220     6.257860     6.169400     6.082770     5.997920     5.914790     5.833310     5.753450     5.675130     5.598330     5.522980     5.449050    -1.256420    -1.248840    -1.245010    -1.238670    -1.229880    -1.218740    -1.204130    -1.185090    -1.160830    -1.129730    -1.090650    -1.042160    -0.982973    -0.912493   -0.830566   -0.737650   -0.636119   -0.529293   -0.421061   -0.316155   -0.221252  -0.072959  -0.012110 -4.745460e-03
  -344.0         X  5.111450e-03  5.056850e-03  5.002820e-03  4.949380e-03  4.896500e-03     6.707820     6.610710     6.515250     6.421840     6.330430     6.240950     6.153320     6.067480     5.983380     5.900960     5.820160     5.740940     5.663240     5.587020     5.512240    -1.271010    -1.263330    -1.259460    -1.253050    -1.244160    -1.232880    -1.218100    -1.198840    -1.174310    -1.142840    -1.103300    -1.054250    -0.994374    -0.923074   -0.840195   -0.746199   -0.643490   -0.535425   -0.425939   -0.319819   -0.223817  -0.073806  -0.012251 -4.800820e-03
