Name:A X_Dim:200 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36         37         38        39        40            41            42            43
  -380.0         X  3.039560e-07  2.942040e-07  2.847650e-07  2.756290e-07  2.667870e-07     9.852770     9.274760     8.748470     8.268890     7.829500     7.425020     7.051120     6.704180     6.381210     6.079680     5.797430     5.532630     5.283670     5.049190     4.827960    -5.338570    -5.216530    -5.156260    -5.058370    -4.926430    -4.765010    -4.562960    -4.314580    -4.020260    -3.674730    -3.284220    -2.855910    -2.401900   -1.940390   -1.490780   -1.073220   -0.711600  -0.424201  -0.219580 -0.094187 -0.032031 -1.054180e-03 -4.276430e-06 -2.475200e-07
  -378.0         X  3.062470e-07  2.964210e-07  2.869110e-07  2.777060e-07  2.687970e-07     9.951890     9.367730     8.835860     8.351210     7.907210     7.498490     7.120680     6.770140     6.443830     6.139180     5.854030     5.586500     5.335000     5.098130     4.874660    -5.394260    -5.270890    -5.209970    -5.111000    -4.977620    -4.814440    -4.610200    -4.359120    -4.061610    -3.712350    -3.317650    -2.884770    -2.425960   -1.959620   -1.505370   -1.083570   -0.718344  -0.428143  -0.221577 -0.095023 -0.032309 -1.062780e-03 -4.309320e-06 -2.493820e-07
  -376.0         X  3.085610e-07  2.986600e-07  2.890770e-07  2.798020e-07  2.708250e-07    10.052400     9.461960     8.924430     8.434640     7.985950     7.572940     7.191170     6.836970     6.507260     6.199460     5.911360     5.641090     5.387000     5.147710     4.921950    -5.450750    -5.326020    -5.264420    -5.164370    -5.029530    -4.864560    -4.658090    -4.404270    -4.103530    -3.750480    -3.351530    -2.914020    -2.450340   -1.979100   -1.520150   -1.094050   -0.725173  -0.432134  -0.223597 -0.095869 -0.032589 -1.071470e-03 -4.342520e-06 -2.512610e-07
  -374.0         X  3.108960e-07  3.009200e-07  2.912640e-07  2.819180e-07  2.728730e-07    10.154200     9.557460     9.014190     8.519190     8.065750     7.648380     7.262600     6.904690     6.571540     6.260530     5.969450     5.696380     5.439680     5.197930     4.969870    -5.508020    -5.381920    -5.319650    -5.218490    -5.082170    -4.915390    -4.706650    -4.450050    -4.146030    -3.789140    -3.385880    -2.943670    -2.475050   -1.998850   -1.535120   -1.104660   -0.732088  -0.436174  -0.225642 -0.096725 -0.032872 -1.080260e-03 -4.376060e-06 -2.531590e-07
  -372.0         X  3.132540e-07  3.032010e-07  2.934720e-07  2.840550e-07  2.749410e-07    10.257400     9.654250     9.105160     8.604880     8.146620     7.724830     7.334980     6.973300     6.636670     6.322420     6.028300     5.752400     5.493050     5.248810     5.018400    -5.566110    -5.438620    -5.375650    -5.273380    -5.135550    -4.966930    -4.755890    -4.496470    -4.189120    -3.828340    -3.420700    -2.973720    -2.500090   -2.018860   -1.550290   -1.115420   -0.739092  -0.440265  -0.227712 -0.097590 -0.033159 -1.089140e-03 -4.409920e-06 -2.550750e-07
  -370.0         X  3.156350e-07  3.055050e-07  2.957010e-07  2.862120e-07  2.770280e-07    10.362000     9.752370     9.197370     8.691730     8.228570     7.802300     7.408320     7.042830     6.702660     6.385120     6.087930     5.809160     5.547120     5.300350     5.067570    -5.625030    -5.496110    -5.432450    -5.329040    -5.189690    -5.019200    -4.805820    -4.543550    -4.232810    -3.868080    -3.456000    -3.004190    -2.525470   -2.039140   -1.565660   -1.126310   -0.746184  -0.444407  -0.229807 -0.098466 -0.033449 -1.098110e-03 -4.444120e-06 -2.570100e-07
  -368.0         X  3.180380e-07  3.078310e-07  2.979520e-07  2.883900e-07  2.791360e-07    10.468100     9.851820     9.290830     8.779750     8.311640     7.880820     7.482650     7.113290     6.769530     6.448650     6.148360     5.866670     5.601900     5.352570     5.117390    -5.684780    -5.554430    -5.490050    -5.385500    -5.244590    -5.072200    -4.856460    -4.591290    -4.277120    -3.908380    -3.491790    -3.035070    -2.551200   -2.059690   -1.581240   -1.137350   -0.753368  -0.448600  -0.231927 -0.099353 -0.033743 -1.107180e-03 -4.478650e-06 -2.589630e-07
  -366.0         X  3.204650e-07  3.101790e-07  3.002240e-07  2.905890e-07  2.812640e-07    10.575600     9.952640     9.385570     8.868970     8.395830     7.960390     7.557980     7.184700     6.837300     6.513030     6.209580     5.924950     5.657410     5.405480     5.167850    -5.745390    -5.613580    -5.548480    -5.442760    -5.300270    -5.125970    -4.907820    -4.639700    -4.322050    -3.949240    -3.528080    -3.066380    -2.577280   -2.080510   -1.597020   -1.148530   -0.760643  -0.452846  -0.234073 -0.100250 -0.034039 -1.116350e-03 -4.513530e-06 -2.609340e-07
  -364.0         X  3.229150e-07  3.125500e-07  3.025180e-07  2.928090e-07  2.834120e-07    10.684600    10.054800     9.481600     8.959410     8.481160     8.041050     7.634330     7.257070     6.905970     6.578270     6.271620     5.983990     5.713650     5.459090     5.218990    -5.806870    -5.673570    -5.607750    -5.500840    -5.356760    -5.180490    -4.959910    -4.688800    -4.367620    -3.990680    -3.564880    -3.098120    -2.603720   -2.101620   -1.613020   -1.159850   -0.768012  -0.457145  -0.236246 -0.101157 -0.034339 -1.125610e-03 -4.548750e-06 -2.629250e-07
  -362.0         X  3.253880e-07  3.149430e-07  3.048340e-07  2.950500e-07  2.855810e-07    10.795200    10.158500     9.578950     9.051090     8.567660     8.122800     7.711710     7.330410     6.975570     6.644390     6.334490     6.043830     5.770650     5.513410     5.270800    -5.869230    -5.734430    -5.667870    -5.559750    -5.414050    -5.235800    -5.012750    -4.738590    -4.413830    -4.032700    -3.602190    -3.130310    -2.630530   -2.123020   -1.629230   -1.171330   -0.775476  -0.461498  -0.238445 -0.102076 -0.034643 -1.134970e-03 -4.584330e-06 -2.649350e-07
