Name:B X_Dim:300 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39          40          41         42         43
  -380.0         X   0.173047   0.172519   0.171992   0.171468   0.170945     18.339800     18.246700     18.154100     18.062400     17.971600     17.881700     17.792600     17.704400     17.617100     17.530500     17.444800     17.359900     17.275700     17.192300     17.109700    -1.144940    -1.141400    -1.139610    -1.136630    -1.132490    -1.127190    -1.120200    -1.110980    -1.099080    -1.083540    -1.063550    -1.038030    -1.005720   -0.965495   -0.916212   -0.856814   -0.787381   -0.708899   -0.623236   -0.533321   -0.443999   -0.269882  -0.140154  -0.103886
  -378.0         X   0.174603   0.174069   0.173538   0.173008   0.172481     18.515000     18.421000     18.327400     18.234800     18.143000     18.052200     17.962200     17.873100     17.784900     17.697400     17.610800     17.525000     17.440000     17.355800     17.272300    -1.156950    -1.153370    -1.151560    -1.148550    -1.144360    -1.139010    -1.131940    -1.122620    -1.110590    -1.094880    -1.074680    -1.048880    -1.016220   -0.975561   -0.925745   -0.865706   -0.795524   -0.716198   -0.629616   -0.538740   -0.448470   -0.272529  -0.141480  -0.104853
  -376.0         X   0.176176   0.175638   0.175101   0.174567   0.174034     18.692500     18.597500     18.503000     18.409400     18.316700     18.224900     18.134000     18.044000     17.954800     17.866400     17.778900     17.692200     17.606300     17.521200     17.436900    -1.169130    -1.165510    -1.163680    -1.160640    -1.156400    -1.150990    -1.143840    -1.134430    -1.122260    -1.106380    -1.085960    -1.059880    -1.026860   -0.985766   -0.935410   -0.874720   -0.803779   -0.723596   -0.636082   -0.544233   -0.453001   -0.275211  -0.142823  -0.105832
  -374.0         X   0.177769   0.177225   0.176683   0.176144   0.175606     18.872200     18.776200     18.680700     18.586100     18.492500     18.399700     18.307900     18.216900     18.126800     18.037600     17.949200     17.861600     17.774800     17.688800     17.603600    -1.181470    -1.177820    -1.175970    -1.172890    -1.168610    -1.163140    -1.155910    -1.146390    -1.134100    -1.118040    -1.097400    -1.071030    -1.037660   -0.996113   -0.945208   -0.883858   -0.812147   -0.731096   -0.642637   -0.549800   -0.457593   -0.277928  -0.144183  -0.106822
  -372.0         X   0.179380   0.178831   0.178284   0.177739   0.177197     19.054200     18.957200     18.860700     18.765200     18.670500     18.576800     18.484000     18.392100     18.301100     18.210900     18.121600     18.033100     17.945400     17.858500     17.772400    -1.193990    -1.190300    -1.188430    -1.185320    -1.180990    -1.175460    -1.168150    -1.158530    -1.146100    -1.129870    -1.109000    -1.082340    -1.048600   -1.006600   -0.955143   -0.893124   -0.820631   -0.738698   -0.649281   -0.555442   -0.462246   -0.280681  -0.145559  -0.107825
  -370.0         X   0.181010   0.180456   0.179904   0.179354   0.178806     19.238600     19.140600     19.043000     18.946500     18.850900     18.756200     18.662400     18.569500     18.477600     18.386400     18.296200     18.206800     18.118200     18.030400     17.943400    -1.206690    -1.202950    -1.201060    -1.197920    -1.193540    -1.187950    -1.180560    -1.170840    -1.158270    -1.141860    -1.120760    -1.093810    -1.059700   -1.017240   -0.965217   -0.902518   -0.829233   -0.746406   -0.656016   -0.561161   -0.466962   -0.283469  -0.146953  -0.108840
  -368.0         X   0.182660   0.182100   0.181543   0.180988   0.180434     19.425300     19.326200     19.227700     19.130100     19.033500     18.937800     18.843100     18.749200     18.656300     18.564200     18.473000     18.382600     18.293100     18.204400     18.116500    -1.219560    -1.215790    -1.213870    -1.210690    -1.206270    -1.200620    -1.193150    -1.183310    -1.170610    -1.154020    -1.132690    -1.105440    -1.070950   -1.028030   -0.975431   -0.912043   -0.837954   -0.754220   -0.662843   -0.566958   -0.471741   -0.286294  -0.148364  -0.109868
  -366.0         X   0.184329   0.183764   0.183201   0.182641   0.182082     19.614300     19.514300     19.414700     19.316100     19.218500     19.121800     19.026000     18.931200     18.837300     18.744200     18.652100     18.560800     18.470300     18.380700     18.291900    -1.232620    -1.228800    -1.226870    -1.223650    -1.219180    -1.213460    -1.205910    -1.195970    -1.183120    -1.166350    -1.144780    -1.117230    -1.082370   -1.038970   -0.985788   -0.921701   -0.846796   -0.762142   -0.669765   -0.572834   -0.476585   -0.289156  -0.149794  -0.110909
  -364.0         X   0.186018   0.185448   0.184880   0.184314   0.183749     19.805900     19.704700     19.604100     19.504500     19.405800     19.308100     19.211400     19.115500     19.020600     18.926600     18.833500     18.741200     18.649800     18.559200     18.469500    -1.245860    -1.242000    -1.240040    -1.236800    -1.232270    -1.226490    -1.218860    -1.208810    -1.195820    -1.178860    -1.157050    -1.129200    -1.093940   -1.050060   -0.996291   -0.931495   -0.855762   -0.770175   -0.676782   -0.578790   -0.481495   -0.292055  -0.151241  -0.111962
  -362.0         X   0.187728   0.187152   0.186578   0.186006   0.185437     19.999900     19.897700     19.796000     19.695300     19.595600     19.496800     19.399100     19.302200     19.206300     19.111300     19.017200     18.923900     18.831600     18.740000     18.649300    -1.259290    -1.255390    -1.253410    -1.250120    -1.245550    -1.239710    -1.231990    -1.221820    -1.208690    -1.191540    -1.169490    -1.141330    -1.105680   -1.061310   -1.006940   -0.941426   -0.864853   -0.778319   -0.683897   -0.584829   -0.486472   -0.294993  -0.152706  -0.113029
