Name:B X_Dim:30 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36            37        38        39        40            41            42            43
  -380.0         X  2.826860e-06  2.766570e-06  2.707570e-06  2.649830e-06  2.593310e-06   0.353913   0.343852   0.334159   0.324856   0.315920   0.307327   0.299057   0.291091   0.283411   0.276001   0.268847   0.261935   0.255253   0.248790   0.242534 -0.118565 -0.117269 -0.116618 -0.115547 -0.114073 -0.112222 -0.109827 -0.106758 -0.102929 -0.098148 -0.092338 -0.085411 -0.077350 -0.068266 -0.058342 -0.047843 -0.037247 -2.711320e-02 -0.018046 -0.010646 -0.005398 -6.040170e-04 -1.644770e-05 -2.507690e-06
  -378.0         X  2.857470e-06  2.796530e-06  2.736880e-06  2.678520e-06  2.621390e-06   0.357825   0.347653   0.337852   0.328447   0.319412   0.310724   0.302362   0.294307   0.286542   0.279050   0.271817   0.264829   0.258073   0.251538   0.245212 -0.119879 -0.118568 -0.117910 -0.116827 -0.115337 -0.113466 -0.111044 -0.107941 -0.104070 -0.099236 -0.093361 -0.086357 -0.078207 -0.069022 -0.058988 -0.048373 -0.037658 -2.741250e-02 -0.018245 -0.010764 -0.005457 -6.106040e-04 -1.662610e-05 -2.534840e-06
  -376.0         X  2.888530e-06  2.826920e-06  2.766630e-06  2.707620e-06  2.649880e-06   0.361797   0.351511   0.341602   0.332091   0.322956   0.314171   0.305716   0.297572   0.289721   0.282145   0.274832   0.267766   0.260935   0.254327   0.247931 -0.121212 -0.119887 -0.119222 -0.118127 -0.116620 -0.114728 -0.112280 -0.109142 -0.105228 -0.100340 -0.094399 -0.087318 -0.079077 -0.069789 -0.059644 -0.048910 -0.038076 -2.771630e-02 -0.018446 -0.010882 -0.005517 -6.172880e-04 -1.680710e-05 -2.562390e-06
  -374.0         X  2.920040e-06  2.857760e-06  2.796810e-06  2.737160e-06  2.678780e-06   0.365828   0.355428   0.345407   0.335791   0.326553   0.317670   0.309121   0.300886   0.292947   0.285287   0.277892   0.270747   0.263839   0.257157   0.250690 -0.122566 -0.121226 -0.120553 -0.119446 -0.117923 -0.116009 -0.113534 -0.110360 -0.106403 -0.101460 -0.095453 -0.088293 -0.079960 -0.070569 -0.060309 -0.049456 -0.038501 -2.802460e-02 -0.018651 -0.011003 -0.005578 -6.240720e-04 -1.699070e-05 -2.590340e-06
  -372.0         X  2.952010e-06  2.889050e-06  2.827430e-06  2.767130e-06  2.708120e-06   0.369920   0.359403   0.349270   0.339546   0.330205   0.321223   0.312578   0.304250   0.296222   0.288476   0.280998   0.273773   0.266788   0.260031   0.253491 -0.123940 -0.122585 -0.121905 -0.120785 -0.119245 -0.117310 -0.114807 -0.111598 -0.107596 -0.102598 -0.096524 -0.089283 -0.080856 -0.071359 -0.060985 -0.050009 -0.038931 -2.833770e-02 -0.018859 -0.011125 -0.005640 -6.309560e-04 -1.717710e-05 -2.618700e-06
  -370.0         X  2.984460e-06  2.920810e-06  2.858510e-06  2.797550e-06  2.737880e-06   0.374074   0.363439   0.353192   0.343359   0.333912   0.324829   0.316086   0.307665   0.299547   0.291714   0.284151   0.276845   0.269781   0.262949   0.256335 -0.125335 -0.123965 -0.123277 -0.122145 -0.120587 -0.118630 -0.116099 -0.112854 -0.108807 -0.103753 -0.097610 -0.090288 -0.081766 -0.072162 -0.061671 -0.050571 -0.039368 -2.865540e-02 -0.019070 -0.011250 -0.005703 -6.379430e-04 -1.736620e-05 -2.647480e-06
  -368.0         X  3.017390e-06  2.953040e-06  2.890050e-06  2.828410e-06  2.768090e-06   0.378291   0.367536   0.357174   0.347229   0.337676   0.328490   0.319649   0.311132   0.302922   0.295001   0.287353   0.279964   0.272820   0.265910   0.259222 -0.126751 -0.125366 -0.124670 -0.123525 -0.121950 -0.119971 -0.117411 -0.114130 -0.110037 -0.104926 -0.098713 -0.091308 -0.082690 -0.072978 -0.062367 -0.051142 -0.039812 -2.897800e-02 -0.019284 -0.011376 -0.005767 -6.450350e-04 -1.755820e-05 -2.676690e-06
  -366.0         X  3.050820e-06  2.985750e-06  2.922060e-06  2.859740e-06  2.798750e-06   0.382573   0.371696   0.361216   0.351159   0.341497   0.332207   0.323266   0.314652   0.306349   0.298338   0.290603   0.283130   0.275906   0.268917   0.262153 -0.128189 -0.126788 -0.126085 -0.124927 -0.123333 -0.121332 -0.118743 -0.115425 -0.111285 -0.106116 -0.099834 -0.092344 -0.083628 -0.073805 -0.063074 -0.051721 -0.040263 -2.930550e-02 -0.019502 -0.011504 -0.005831 -6.522340e-04 -1.775300e-05 -2.706330e-06
  -364.0         X  3.084740e-06  3.018940e-06  2.954550e-06  2.891540e-06  2.829860e-06   0.386921   0.375920   0.365321   0.355149   0.345377   0.335981   0.326938   0.318227   0.309829   0.301726   0.293903   0.286345   0.279039   0.271970   0.265129 -0.129649 -0.128232 -0.127521 -0.126350 -0.124738 -0.122715 -0.120096 -0.116739 -0.112553 -0.107325 -0.100971 -0.093396 -0.084581 -0.074646 -0.063792 -0.052310 -0.040720 -2.963810e-02 -0.019723 -0.011634 -0.005897 -6.595410e-04 -1.795080e-05 -2.736420e-06
  -362.0         X  3.119170e-06  3.052640e-06  2.987530e-06  2.923810e-06  2.861450e-06   0.391336   0.380210   0.369489   0.359201   0.349317   0.339814   0.330667   0.321856   0.313362   0.305167   0.297254   0.289610   0.282220   0.275071   0.268151 -0.131132 -0.129699 -0.128980 -0.127795 -0.126165 -0.124118 -0.121470 -0.118075 -0.113841 -0.108553 -0.102126 -0.094464 -0.085548 -0.075499 -0.064521 -0.052907 -0.041185 -2.997570e-02 -0.019947 -0.011766 -0.005964 -6.669590e-04 -1.815150e-05 -2.766960e-06
