,Required_half_cycles
5x150C - X,1
5x150C - Y,1
5x150C - Z,1
15x150C - X,1
15x150C - Y,1
15x150C - Z,1
30x150C - X,1
30x150C - Y,1
30x150C - Z,1
50x150C - X,1
50x150C - Y,1
50x150C - Z,1
75x150C - X,1
75x150C - Y,1
75x150C - Z,1
150x5C - X,1
150x5C - Y,1
150x5C - Z,1
150x15C - X,1
150x15C - Y,1
150x15C - Z,1
150x30C - X,1
150x30C - Y,1
150x30C - Z,1
150x50C - X,1
150x50C - Y,1
150x50C - Z,1
150x75C - X,1
150x75C - Y,1
150x75C - Z,1
150x150C - X,6
150x150C - Y,6
150x150C - Z,5
