,Required_half_cycles
5x150B - X,1
5x150B - Y,1
5x150B - Z,1
15x150B - X,1
15x150B - Y,1
15x150B - Z,1
30x150B - X,1
30x150B - Y,1
30x150B - Z,1
50x150B - X,1
50x150B - Y,1
50x150B - Z,1
75x150B - X,1
75x150B - Y,1
75x150B - Z,1
150x5B - X,1
150x5B - Y,1
150x5B - Z,1
150x15B - X,1
150x15B - Y,1
150x15B - Z,1
150x30B - X,1
150x30B - Y,1
150x30B - Z,1
150x50B - X,1
150x50B - Y,1
150x50B - Z,1
150x75B - X,1
150x75B - Y,1
150x75B - Z,1
150x150B - X,1
150x150B - Y,1
150x150B - Z,1
