,Required_half_cycles
30x600B - X,1
30x600B - Y,1
30x600B - Z,1
60x600B - X,1
60x600B - Y,1
60x600B - Z,1
120x600B - X,1
120x600B - Y,1
120x600B - Z,1
200x600B - X,1
200x600B - Y,1
200x600B - Z,1
300x600B - X,1
300x600B - Y,1
300x600B - Z,1
600x30B - X,1
600x30B - Y,1
600x30B - Z,1
600x60B - X,1
600x60B - Y,1
600x60B - Z,1
600x120B - X,1
600x120B - Y,1
600x120B - Z,1
600x200B - X,1
600x200B - Y,1
600x200B - Z,1
600x300B - X,1
600x300B - Y,1
600x300B - Z,1
600x600B - X,1
600x600B - Y,1
600x600B - Z,1
