Name:A X_Dim:150 Y_Dim:5 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component              0              1              2              3              4           5          6          7             8             9            10            11            12            13            14            15            16            17            18            19          20          21          22          23          24         25         26            27            28            29            30            31            32            33            34            35            36            37            38            39            40             41             42             43
  -380.0         X  2.887850e-173  8.034380e-174  2.235430e-174  6.220160e-175  1.730900e-175    0.011808   0.003141   0.000859  2.358650e-04  6.479890e-05  1.780610e-05  4.893660e-06  1.345090e-06  3.697540e-07  1.016510e-07  2.794750e-08  7.684260e-09  2.112930e-09  5.810210e-10  1.597780e-10   -0.016918   -0.011092   -0.009034   -0.006463   -0.004077  -0.002269  -0.001043 -3.707560e-04 -9.547370e-05 -1.564850e-05 -1.434810e-06 -6.064580e-08 -9.129190e-10 -3.545120e-12 -2.261130e-15 -1.242920e-19 -2.716470e-25 -8.417890e-33 -8.967490e-43 -5.084120e-56 -2.550660e-73 -1.364610e-129 -4.143240e-222 -2.653120e-270
  -378.0         X  2.926060e-173  8.140650e-174  2.264990e-174  6.302410e-175  1.753790e-175    0.011969   0.003184   0.000871  2.390890e-04  6.568470e-05  1.804950e-05  4.960560e-06  1.363480e-06  3.748090e-07  1.030410e-07  2.832950e-08  7.789300e-09  2.141820e-09  5.889630e-10  1.619620e-10   -0.017149   -0.011244   -0.009158   -0.006551   -0.004133  -0.002300  -0.001057 -3.758240e-04 -9.677880e-05 -1.586240e-05 -1.454430e-06 -6.147480e-08 -9.253980e-10 -3.593580e-12 -2.292030e-15 -1.259900e-19 -2.753570e-25 -8.532780e-33 -9.089760e-43 -5.153340e-56 -2.585290e-73 -1.382860e-129 -4.197470e-222 -2.687760e-270
  -376.0         X  2.964920e-173  8.248770e-174  2.295070e-174  6.386080e-175  1.777070e-175    0.012133   0.003227   0.000883  2.423720e-04  6.658660e-05  1.829730e-05  5.028660e-06  1.382200e-06  3.799550e-07  1.044550e-07  2.871850e-08  7.896240e-09  2.171220e-09  5.970490e-10  1.641860e-10   -0.017384   -0.011398   -0.009283   -0.006641   -0.004190  -0.002332  -0.001072 -3.809840e-04 -9.810760e-05 -1.608020e-05 -1.474390e-06 -6.231890e-08 -9.381030e-10 -3.642910e-12 -2.323490e-15 -1.277190e-19 -2.791340e-25 -8.649750e-33 -9.214240e-43 -5.223790e-56 -2.620540e-73 -1.401450e-129 -4.252620e-222 -2.723000e-270
  -374.0         X  3.004470e-173  8.358770e-174  2.325670e-174  6.471220e-175  1.800750e-175    0.012301   0.003272   0.000895  2.457140e-04  6.750480e-05  1.854960e-05  5.098010e-06  1.401260e-06  3.851950e-07  1.058960e-07  2.911450e-08  8.005130e-09  2.201160e-09  6.052820e-10  1.664500e-10   -0.017624   -0.011555   -0.009411   -0.006733   -0.004247  -0.002364  -0.001087 -3.862380e-04 -9.946050e-05 -1.630190e-05 -1.494730e-06 -6.317820e-08 -9.510380e-10 -3.693140e-12 -2.355520e-15 -1.294790e-19 -2.829790e-25 -8.768840e-33 -9.340970e-43 -5.295530e-56 -2.656420e-73 -1.420350e-129 -4.308720e-222 -2.758830e-270
  -372.0         X  3.044710e-173  8.470700e-174  2.356810e-174  6.557840e-175  1.824860e-175    0.012471   0.003317   0.000907  2.491180e-04  6.843980e-05  1.880660e-05  5.168630e-06  1.420670e-06  3.905300e-07  1.073630e-07  2.951780e-08  8.116000e-09  2.231650e-09  6.136650e-10  1.687550e-10   -0.017868   -0.011716   -0.009542   -0.006826   -0.004306  -0.002397  -0.001102 -3.915880e-04 -1.008380e-04 -1.652770e-05 -1.515430e-06 -6.405330e-08 -9.642100e-10 -3.744280e-12 -2.388140e-15 -1.312710e-19 -2.868950e-25 -8.890100e-33 -9.470020e-43 -5.368560e-56 -2.692960e-73 -1.439600e-129 -4.365780e-222 -2.795280e-270
  -370.0         X  3.085650e-173  8.584590e-174  2.388490e-174  6.645980e-175  1.849380e-175    0.012645   0.003363   0.000920  2.525830e-04  6.939200e-05  1.906820e-05  5.240530e-06  1.440430e-06  3.959630e-07  1.088560e-07  2.992840e-08  8.228910e-09  2.262690e-09  6.222020e-10  1.711030e-10   -0.018117   -0.011879   -0.009674   -0.006921   -0.004366  -0.002430  -0.001117 -3.970360e-04 -1.022410e-04 -1.675770e-05 -1.536510e-06 -6.494440e-08 -9.776240e-10 -3.796360e-12 -2.421350e-15 -1.330970e-19 -2.908820e-25 -9.013580e-33 -9.601420e-43 -5.442930e-56 -2.730160e-73 -1.459190e-129 -4.423830e-222 -2.832360e-270
  -368.0         X  3.127320e-173  8.700490e-174  2.420730e-174  6.735680e-175  1.874330e-175    0.012821   0.003410   0.000933  2.561130e-04  7.036170e-05  1.933470e-05  5.313770e-06  1.460560e-06  4.014970e-07  1.103770e-07  3.034660e-08  8.343900e-09  2.294310e-09  6.308960e-10  1.734930e-10   -0.018370   -0.012044   -0.009810   -0.007018   -0.004427  -0.002464  -0.001133 -4.025840e-04 -1.036700e-04 -1.699190e-05 -1.557990e-06 -6.585200e-08 -9.912850e-10 -3.849410e-12 -2.455180e-15 -1.349560e-19 -2.949430e-25 -9.139330e-33 -9.735240e-43 -5.518670e-56 -2.768040e-73 -1.479130e-129 -4.482890e-222 -2.870070e-270
  -366.0         X  3.169720e-173  8.818440e-174  2.453540e-174  6.826960e-175  1.899730e-175    0.013001   0.003458   0.000946  2.597080e-04  7.134930e-05  1.960610e-05  5.388350e-06  1.481060e-06  4.071320e-07  1.119270e-07  3.077260e-08  8.461010e-09  2.326510e-09  6.397510e-10  1.759280e-10   -0.018628   -0.012214   -0.009947   -0.007116   -0.004489  -0.002499  -0.001148 -4.082350e-04 -1.051250e-04 -1.723040e-05 -1.579850e-06 -6.677630e-08 -1.005200e-09 -3.903430e-12 -2.489630e-15 -1.368490e-19 -2.990790e-25 -9.267410e-33 -9.871520e-43 -5.595790e-56 -2.806620e-73 -1.499430e-129 -4.542970e-222 -2.908440e-270
  -364.0         X  3.212880e-173  8.938480e-174  2.486940e-174  6.919860e-175  1.925580e-175    0.013185   0.003507   0.000959  2.633700e-04  7.235530e-05  1.988250e-05  5.464330e-06  1.501950e-06  4.128720e-07  1.135050e-07  3.120650e-08  8.580310e-09  2.359310e-09  6.487700e-10  1.784090e-10   -0.018890   -0.012386   -0.010087   -0.007217   -0.004553  -0.002534  -0.001165 -4.139900e-04 -1.066070e-04 -1.747330e-05 -1.602130e-06 -6.771780e-08 -1.019370e-09 -3.958460e-12 -2.524720e-15 -1.387770e-19 -3.032910e-25 -9.397860e-33 -1.001030e-42 -5.674350e-56 -2.845910e-73 -1.520090e-129 -4.604100e-222 -2.947480e-270
  -362.0         X  3.256800e-173  9.060670e-174  2.520930e-174  7.014420e-175  1.951890e-175    0.013371   0.003556   0.000973  2.671000e-04  7.338010e-05  2.016410e-05  5.541720e-06  1.523220e-06  4.187200e-07  1.151120e-07  3.164840e-08  8.701820e-09  2.392730e-09  6.579580e-10  1.809350e-10   -0.019158   -0.012561   -0.010230   -0.007319   -0.004617  -0.002570  -0.001181 -4.198540e-04 -1.081170e-04 -1.772080e-05 -1.624820e-06 -6.867680e-08 -1.033810e-09 -4.014510e-12 -2.560460e-15 -1.407410e-19 -3.075830e-25 -9.530730e-33 -1.015170e-42 -5.754360e-56 -2.885920e-73 -1.541130e-129 -4.666310e-222 -2.987210e-270
