Name:A X_Dim:150 Y_Dim:15 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6           7           8           9          10          11         12         13         14         15         16        17            18            19           20           21           22           23           24           25           26          27          28          29          30         31        32            33            34            35            36            37            38            39            40            41            42            43
  -380.0         X  3.892690e-64  2.536410e-64  1.652690e-64  1.076870e-64  7.016780e-65     0.154401     0.094719    0.059974    0.038494    0.024859    0.016102    0.010446   0.006782   0.004406   0.002863   0.001861   0.001210  0.000786  5.112980e-04  3.324810e-04    -0.176321    -0.150609    -0.139447    -0.123088    -0.103941    -0.084197    -0.064058   -0.044844   -0.028288   -0.015395   -0.006919  -0.002406 -0.000593 -9.330520e-05 -8.045730e-06 -3.071340e-07 -4.013930e-09 -1.274880e-11 -6.143410e-15 -2.413890e-19 -4.248450e-25 -7.654770e-44 -7.668480e-75 -4.714610e-91
  -378.0         X  3.944960e-64  2.570470e-64  1.674880e-64  1.091330e-64  7.110980e-65     0.156483     0.095996    0.060783    0.039013    0.025195    0.016319    0.010587   0.006874   0.004465   0.002901   0.001886   0.001226  0.000797  5.181970e-04  3.369680e-04    -0.178698    -0.152640    -0.141327    -0.124747    -0.105343    -0.085332    -0.064922   -0.045449   -0.028670   -0.015603   -0.007013  -0.002438 -0.000601 -9.456440e-05 -8.154320e-06 -3.112800e-07 -4.068120e-09 -1.292090e-11 -6.226340e-15 -2.446470e-19 -4.305770e-25 -7.757810e-44 -7.770850e-75 -4.777070e-91
  -376.0         X  3.998160e-64  2.605140e-64  1.697470e-64  1.106050e-64  7.206860e-65     0.158602     0.097296    0.061606    0.039541    0.025536    0.016540    0.010730   0.006967   0.004526   0.002941   0.001911   0.001242  0.000808  5.252200e-04  3.415350e-04    -0.181118    -0.154706    -0.143241    -0.126436    -0.106769    -0.086488    -0.065801   -0.046065   -0.029058   -0.015814   -0.007108  -0.002471 -0.000610 -9.584600e-05 -8.264850e-06 -3.154990e-07 -4.123270e-09 -1.309610e-11 -6.310760e-15 -2.479630e-19 -4.364110e-25 -7.862680e-44 -7.875040e-75 -4.840630e-91
  -374.0         X  4.052320e-64  2.640420e-64  1.720460e-64  1.121030e-64  7.304460e-65     0.160759     0.098619    0.062444    0.040079    0.025883    0.016765    0.010876   0.007062   0.004587   0.002981   0.001937   0.001259  0.000819  5.323680e-04  3.461830e-04    -0.183581    -0.156810    -0.145189    -0.128156    -0.108221    -0.087664    -0.066696   -0.046691   -0.029453   -0.016029   -0.007205  -0.002505 -0.000618 -9.715070e-05 -8.377370e-06 -3.197950e-07 -4.179420e-09 -1.327450e-11 -6.396690e-15 -2.513390e-19 -4.423500e-25 -7.969430e-44 -7.981080e-75 -4.905310e-91
  -372.0         X  4.107450e-64  2.676340e-64  1.743860e-64  1.136280e-64  7.403820e-65     0.162954     0.099966    0.063297    0.040627    0.026237    0.016995    0.011025   0.007158   0.004650   0.003022   0.001964   0.001277  0.000830  5.396460e-04  3.509160e-04    -0.186088    -0.158952    -0.147172    -0.129906    -0.109700    -0.088861    -0.067607   -0.047329   -0.029856   -0.016249   -0.007303  -0.002539 -0.000626 -9.847890e-05 -8.491920e-06 -3.241680e-07 -4.236580e-09 -1.345600e-11 -6.484170e-15 -2.547760e-19 -4.483960e-25 -8.078110e-44 -8.089010e-75 -4.971140e-91
  -370.0         X  4.163570e-64  2.712910e-64  1.767690e-64  1.151800e-64  7.504960e-65     0.165190     0.101338    0.064165    0.041184    0.026597    0.017228    0.011176   0.007257   0.004714   0.003063   0.001991   0.001294  0.000841  5.470550e-04  3.557340e-04    -0.188641    -0.161132    -0.149191    -0.131688    -0.111205    -0.090080    -0.068535   -0.047979   -0.030265   -0.016472   -0.007403  -0.002574 -0.000635 -9.983120e-05 -8.608540e-06 -3.286210e-07 -4.294770e-09 -1.364080e-11 -6.573230e-15 -2.582750e-19 -4.545520e-25 -8.188750e-44 -8.198880e-75 -5.038140e-91
  -368.0         X  4.220710e-64  2.750140e-64  1.791950e-64  1.167600e-64  7.607940e-65     0.167466     0.102734    0.065049    0.041752    0.026963    0.017465    0.011330   0.007357   0.004779   0.003105   0.002018   0.001312  0.000853  5.545980e-04  3.606390e-04    -0.191239    -0.163352    -0.151246    -0.133503    -0.112737    -0.091322    -0.069479   -0.048640   -0.030682   -0.016699   -0.007505  -0.002609 -0.000644 -1.012080e-04 -8.727280e-06 -3.331540e-07 -4.354020e-09 -1.382900e-11 -6.663920e-15 -2.618370e-19 -4.608190e-25 -8.301400e-44 -8.310740e-75 -5.106340e-91
  -366.0         X  4.278890e-64  2.788050e-64  1.816640e-64  1.183700e-64  7.712800e-65     0.169783     0.104156    0.065950    0.042329    0.027337    0.017707    0.011487   0.007458   0.004845   0.003148   0.002046   0.001330  0.000865  5.622800e-04  3.656350e-04    -0.193886    -0.165613    -0.153339    -0.135350    -0.114297    -0.092586    -0.070441   -0.049313   -0.031107   -0.016930   -0.007609  -0.002646 -0.000653 -1.026100e-04 -8.848190e-06 -3.377700e-07 -4.414350e-09 -1.402070e-11 -6.756260e-15 -2.654650e-19 -4.672010e-25 -8.416100e-44 -8.424610e-75 -5.175760e-91
  -364.0         X  4.338140e-64  2.826650e-64  1.841800e-64  1.200080e-64  7.819570e-65     0.172143     0.105604    0.066866    0.042918    0.027717    0.017953    0.011647   0.007562   0.004912   0.003192   0.002075   0.001349  0.000877  5.701020e-04  3.707210e-04    -0.196580    -0.167914    -0.155470    -0.137231    -0.115886    -0.093873    -0.071420   -0.049999   -0.031540   -0.017165   -0.007715  -0.002682 -0.000662 -1.040380e-04 -8.971310e-06 -3.424710e-07 -4.475790e-09 -1.421580e-11 -6.850300e-15 -2.691590e-19 -4.737010e-25 -8.532910e-44 -8.540560e-75 -5.246440e-91
  -362.0         X  4.398470e-64  2.865960e-64  1.867410e-64  1.216770e-64  7.928300e-65     0.174546     0.107078    0.067800    0.043517    0.028104    0.018204    0.011810   0.007668   0.004981   0.003237   0.002104   0.001367  0.000889  5.780680e-04  3.759020e-04    -0.199325    -0.170259    -0.157641    -0.139147    -0.117504    -0.095183    -0.072417   -0.050697   -0.031980   -0.017405   -0.007823  -0.002720 -0.000671 -1.054910e-04 -9.096710e-06 -3.472580e-07 -4.538370e-09 -1.441460e-11 -6.946070e-15 -2.729210e-19 -4.803200e-25 -8.651870e-44 -8.658630e-75 -5.318400e-91
