Name:A X_Dim:75 Y_Dim:150 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15          16          17          18          19           20           21           22           23           24           25           26           27           28           29          30          31          32          33         34         35         36        37        38            39            40            41            42            43
  -380.0         X  1.234940e-18  1.130720e-18  1.035300e-18  9.479310e-19  8.679350e-19     1.518750     1.319810     1.161020     1.029680     0.918291     0.822279     0.738585     0.665029     0.599980     0.542175     0.490608    0.444458    0.403049    0.365810    0.332260    -1.268850    -1.208000    -1.179230    -1.134080    -1.076020    -1.008740    -0.929416    -0.838026    -0.736903    -0.626456   -0.511028   -0.395218   -0.285113   -0.187967  -0.109922  -0.054585  -0.021835 -0.006557 -0.001342 -1.646520e-04 -1.070620e-05 -1.479070e-09 -6.141520e-16 -2.814740e-19
  -378.0         X  1.248540e-18  1.143180e-18  1.046700e-18  9.583710e-19  8.774930e-19     1.536180     1.334940     1.174300     1.041440     0.928769     0.831651     0.746994     0.672593     0.606798     0.548331     0.496174    0.449497    0.407615    0.369952    0.336019    -1.283480    -1.221920    -1.192810    -1.147140    -1.088400    -1.020340    -0.940089    -0.847638    -0.745342    -0.633617   -0.516858   -0.399717   -0.288349   -0.190095  -0.111162  -0.055198  -0.022080 -0.006631 -0.001357 -1.664780e-04 -1.082460e-05 -1.495380e-09 -6.209160e-16 -2.845740e-19
  -376.0         X  1.262340e-18  1.155810e-18  1.058270e-18  9.689630e-19  8.871910e-19     1.553880     1.350290     1.187790     1.053380     0.939406     0.841166     0.755531     0.680272     0.613720     0.554581     0.501824    0.454612    0.412250    0.374156    0.339835    -1.298330    -1.236050    -1.206600    -1.160390    -1.100970    -1.032110    -0.950926    -0.857396    -0.753911    -0.640889   -0.522778   -0.404284   -0.291635   -0.192254  -0.112421  -0.055821  -0.022328 -0.006705 -0.001372 -1.683310e-04 -1.094470e-05 -1.511920e-09 -6.277780e-16 -2.877190e-19
  -374.0         X  1.276340e-18  1.168630e-18  1.070010e-18  9.797100e-19  8.970310e-19     1.571860     1.365880     1.201480     1.065510     0.950207     0.850825     0.764198     0.688069     0.620747     0.560925     0.507561    0.459805    0.416955    0.378423    0.343709    -1.313420    -1.250410    -1.220610    -1.173860    -1.113740    -1.044070    -0.961929    -0.867305    -0.762611    -0.648271   -0.528787   -0.408920   -0.294971   -0.194447  -0.113699  -0.056453  -0.022580 -0.006780 -0.001387 -1.702110e-04 -1.106660e-05 -1.528700e-09 -6.347410e-16 -2.909100e-19
  -372.0         X  1.290550e-18  1.181640e-18  1.081920e-18  9.906150e-19  9.070170e-19     1.590110     1.381710     1.215380     1.077820     0.961172     0.860633     0.772998     0.695984     0.627882     0.567367     0.513384    0.465076    0.421732    0.382756    0.347641    -1.328740    -1.264980    -1.234830    -1.187530    -1.126700    -1.056210    -0.973103    -0.877367    -0.771445    -0.655767   -0.534889   -0.413628   -0.298357   -0.196672  -0.114996  -0.057095  -0.022836 -0.006857 -0.001403 -1.721180e-04 -1.119030e-05 -1.545730e-09 -6.418070e-16 -2.941480e-19
  -370.0         X  1.304970e-18  1.194840e-18  1.094010e-18  1.001680e-18  9.171490e-19     1.608650     1.397790     1.229500     1.090320     0.972307     0.870592     0.781933     0.704021     0.635125     0.573907     0.519297    0.470429    0.426582    0.387154    0.351633    -1.344300    -1.279780    -1.249270    -1.201410    -1.139860    -1.068540    -0.984450    -0.887585    -0.780415    -0.663379   -0.541085   -0.418407   -0.301796   -0.198932  -0.116313  -0.057747  -0.023096 -0.006934 -0.001419 -1.740550e-04 -1.131590e-05 -1.563010e-09 -6.489770e-16 -2.974340e-19
  -368.0         X  1.319600e-18  1.208240e-18  1.106270e-18  1.012910e-18  9.274320e-19     1.627480     1.414120     1.243840     1.103020     0.983614     0.880704     0.791006     0.712182     0.642481     0.580547     0.525301    0.475863    0.431507    0.391620    0.355687    -1.360100    -1.294820    -1.263940    -1.215510    -1.153230    -1.081060    -0.995974    -0.897962    -0.789525    -0.671109   -0.547377   -0.423261   -0.305287   -0.201226  -0.117650  -0.058408  -0.023359 -0.007013 -0.001435 -1.760200e-04 -1.144330e-05 -1.580550e-09 -6.562530e-16 -3.007680e-19
  -366.0         X  1.334450e-18  1.221830e-18  1.118720e-18  1.024310e-18  9.378680e-19     1.646600     1.430700     1.258400     1.115910     0.995097     0.890973     0.800219     0.720468     0.649949     0.587290     0.531397    0.481381    0.436507    0.396155    0.359803    -1.376150    -1.310090    -1.278840    -1.229830    -1.166810    -1.093780    -1.007680    -0.908501    -0.798778    -0.678959   -0.553766   -0.428189   -0.308832   -0.203556  -0.119008  -0.059080  -0.023627 -0.007093 -0.001451 -1.780140e-04 -1.157260e-05 -1.598350e-09 -6.636380e-16 -3.041520e-19
  -364.0         X  1.349520e-18  1.235630e-18  1.131350e-18  1.035880e-18  9.484590e-19     1.666020     1.447540     1.273180     1.129010     1.006760     0.901402     0.809576     0.728884     0.657534     0.594137     0.537588    0.486985    0.441584    0.400760    0.363982    -1.392450    -1.325600    -1.293980    -1.244380    -1.180600    -1.106690    -1.019570    -0.919205    -0.808175    -0.686932   -0.560255   -0.433195   -0.312432   -0.205921  -0.120386  -0.059762  -0.023898 -0.007174 -0.001468 -1.800390e-04 -1.170390e-05 -1.616420e-09 -6.711320e-16 -3.075870e-19
  -362.0         X  1.364810e-18  1.249630e-18  1.144180e-18  1.047620e-18  9.592100e-19     1.685740     1.464640     1.288200     1.142310     1.018600     0.911994     0.819078     0.737431     0.665237     0.601091     0.543874    0.492675    0.446740    0.405436    0.368226    -1.409020    -1.341350    -1.309350    -1.259160    -1.194610    -1.119820    -1.031640    -0.930078    -0.817719    -0.695030   -0.566845   -0.438278   -0.316088   -0.208324  -0.121785  -0.060454  -0.024174 -0.007257 -0.001484 -1.820940e-04 -1.183710e-05 -1.634760e-09 -6.787390e-16 -3.110730e-19
  -360.0         X  1.380340e-18  1.263850e-18  1.157190e-18  1.059540e-18  9.701210e-19     1.705780     1.482020     1.303460     1.155820     1.030630     0.922752     0.828730     0.746111     0.673060     0.608154     0.550259    0.498454    0.451976    0.410184    0.372536    -1.425840    -1.357360    -1.324970    -1.274170    -1.208840    -1.133150    -1.043910    -0.941122    -0.827415    -0.703255   -0.573539   -0.443440   -0.319801   -0.210763  -0.123207  -0.061157  -0.024454 -0.007341 -0.001502 -1.841810e-04 -1.197230e-05 -1.653370e-09 -6.864610e-16 -3.146120e-19
  -358.0         X  1.396100e-18  1.278280e-18  1.170410e-18  1.071630e-18  9.811980e-19     1.726140     1.499670     1.318960     1.169540     1.042850     0.933679     0.838533     0.754928     0.681006     0.615327     0.556744    0.504324    0.457294    0.415007    0.376913    -1.442940    -1.373620    -1.340840    -1.289420    -1.223300    -1.146690    -1.056370    -0.952342    -0.837263    -0.711611   -0.580339   -0.448684   -0.323572   -0.213240  -0.124650  -0.061870  -0.024739 -0.007426 -0.001519 -1.862990e-04 -1.210960e-05 -1.672260e-09 -6.942990e-16 -3.182040e-19
  -356.0         X  1.412100e-18  1.292930e-18  1.183820e-18  1.083910e-18  9.924420e-19     1.746820     1.517600     1.334700     1.183480     1.055270     0.944779     0.848491     0.763883     0.689076     0.622612     0.563330    0.510285    0.462695    0.419905    0.381358    -1.460300    -1.390140    -1.356970    -1.304920    -1.237990    -1.160450    -1.069030    -0.963741    -0.847269    -0.720099   -0.587246   -0.454011   -0.327402   -0.215757  -0.126116  -0.062595  -0.025027 -0.007512 -0.001536 -1.884490e-04 -1.224900e-05 -1.691440e-09 -7.022550e-16 -3.218500e-19
  -354.0         X  1.428340e-18  1.307800e-18  1.197430e-18  1.096380e-18  1.003860e-18     1.767830     1.535820     1.350700     1.197640     1.067880     0.956056     0.858606     0.772981     0.697275     0.630013     0.570021    0.516341    0.468182    0.424881    0.385874    -1.477950    -1.406930    -1.373350    -1.320660    -1.252920    -1.174420    -1.081900    -0.975322    -0.857434    -0.728722   -0.594262   -0.459422   -0.331293   -0.218313  -0.127605  -0.063331  -0.025320 -0.007600 -0.001554 -1.906320e-04 -1.239050e-05 -1.710920e-09 -7.103330e-16 -3.255520e-19
  -352.0         X  1.444830e-18  1.322900e-18  1.211260e-18  1.109040e-18  1.015450e-18     1.789190     1.554330     1.366950     1.212030     1.080690     0.967511     0.868883     0.782223     0.705603     0.637532     0.576817    0.522492    0.473755    0.429935    0.390460    -1.495890    -1.423990    -1.389990    -1.336660    -1.268090    -1.188630    -1.094970    -0.987089    -0.867762    -0.737483   -0.601391   -0.464919   -0.335245   -0.220909  -0.129117  -0.064079  -0.025618 -0.007689 -0.001572 -1.928490e-04 -1.253420e-05 -1.730690e-09 -7.185330e-16 -3.293110e-19
  -350.0         X  1.461570e-18  1.338230e-18  1.225290e-18  1.121890e-18  1.027210e-18     1.810880     1.573140     1.383460     1.226650     1.093700     0.979151     0.879323     0.791612     0.714065     0.645169     0.583721    0.528741    0.479417    0.435069    0.395120    -1.514110    -1.441330    -1.406910    -1.352920    -1.283500    -1.203060    -1.108250    -0.999046    -0.878256    -0.746384   -0.608634   -0.470504   -0.339261   -0.223546  -0.130653  -0.064839  -0.025921 -0.007779 -0.001591 -1.951010e-04 -1.268010e-05 -1.750760e-09 -7.268600e-16 -3.331260e-19
  -348.0         X  1.478570e-18  1.353790e-18  1.239550e-18  1.134940e-18  1.039160e-18     1.832930     1.592250     1.400240     1.241500     1.106930     0.990976     0.889931     0.801151     0.722661     0.652929     0.590736    0.535089    0.485168    0.440284    0.399853    -1.532640    -1.458950    -1.424100    -1.369440    -1.299160    -1.217730    -1.121740    -1.011200    -0.888920    -0.755430   -0.615993   -0.476178   -0.343340   -0.226226  -0.132213  -0.065610  -0.026228 -0.007871 -0.001610 -1.973870e-04 -1.282830e-05 -1.771140e-09 -7.353140e-16 -3.370010e-19
  -346.0         X  1.495830e-18  1.369600e-18  1.254020e-18  1.148190e-18  1.051290e-18     1.855340     1.611680     1.417290     1.256590     1.120370     1.002990     0.900710     0.810844     0.731396     0.660813     0.597863    0.541539    0.491012    0.445583    0.404662    -1.551460    -1.476860    -1.441580    -1.386240    -1.315080    -1.232640    -1.135460    -1.023540    -0.899757    -0.764621   -0.623471   -0.481944   -0.347485   -0.228948  -0.133798  -0.066394  -0.026540 -0.007964 -0.001629 -1.997080e-04 -1.297870e-05 -1.791840e-09 -7.438990e-16 -3.409350e-19
  -344.0         X  1.513360e-18  1.385650e-18  1.268710e-18  1.161650e-18  1.063610e-18     1.878110     1.631420     1.434620     1.271930     1.134030     1.015200     0.911663     0.820694     0.740271     0.668825     0.605104    0.548093    0.496950    0.450967    0.409548    -1.570600    -1.495060    -1.459340    -1.403300    -1.331260    -1.247790    -1.149400    -1.036090    -0.910770    -0.773962   -0.631070   -0.487802   -0.351697   -0.231713  -0.135409  -0.067190  -0.026857 -0.008059 -0.001648 -2.020660e-04 -1.313150e-05 -1.812850e-09 -7.526160e-16 -3.449300e-19
  -342.0         X  1.531160e-18  1.401950e-18  1.283640e-18  1.175310e-18  1.076120e-18     1.901260     1.651480     1.452230     1.287520     1.147910     1.027610     0.922793     0.830703     0.749290     0.676965     0.612463    0.554753    0.502983    0.456438    0.414513    -1.590050    -1.513560    -1.477390    -1.420650    -1.347710    -1.263190    -1.163570    -1.048850    -0.921964    -0.783455   -0.638793   -0.493756   -0.355976   -0.234524  -0.137045  -0.067999  -0.027179 -0.008155 -0.001667 -2.044610e-04 -1.328670e-05 -1.834200e-09 -7.614690e-16 -3.489870e-19
  -340.0         X  1.549240e-18  1.418500e-18  1.298790e-18  1.189190e-18  1.088830e-18     1.924780     1.671870     1.470130     1.303370     1.162010     1.040220     0.934105     0.840875     0.758456     0.685238     0.619941    0.561520    0.509114    0.461997    0.419557    -1.609820    -1.532370    -1.495740    -1.438290    -1.364420    -1.278840    -1.177970    -1.061810    -0.933341    -0.793104   -0.646642   -0.499807   -0.360326   -0.237379  -0.138708  -0.068820  -0.027506 -0.008253 -0.001687 -2.068930e-04 -1.344430e-05 -1.855880e-09 -7.704600e-16 -3.531080e-19
  -338.0         X  1.567610e-18  1.435310e-18  1.314190e-18  1.203280e-18  1.101740e-18     1.948700     1.692600     1.488320     1.319470     1.176350     1.053040     0.945602     0.851213     0.767771     0.693646     0.627540    0.568398    0.515344    0.467647    0.424684    -1.629920    -1.551490    -1.514400    -1.456220    -1.381420    -1.294760    -1.192620    -1.074990    -0.944906    -0.802911   -0.654619   -0.505956   -0.364745   -0.240281  -0.140397  -0.069655  -0.027838 -0.008352 -0.001708 -2.093640e-04 -1.360440e-05 -1.877890e-09 -7.795920e-16 -3.572930e-19
  -336.0         X  1.586260e-18  1.452390e-18  1.329820e-18  1.217600e-18  1.114840e-18     1.973010     1.713670     1.506820     1.335840     1.190920     1.066070     0.957288     0.861720     0.777238     0.702191     0.635264    0.575387    0.521676    0.473388    0.429894    -1.650360    -1.570930    -1.533360    -1.474450    -1.398700    -1.310940    -1.207500    -1.088390    -0.956662    -0.812881   -0.662728   -0.512207   -0.369238   -0.243231  -0.142114  -0.070504  -0.028176 -0.008453 -0.001728 -2.118740e-04 -1.376700e-05 -1.900250e-09 -7.888670e-16 -3.615430e-19
  -334.0         X  1.605200e-18  1.469740e-18  1.345700e-18  1.232140e-18  1.128160e-18     1.997730     1.735100     1.525620     1.352480     1.205740     1.079320     0.969166     0.872401     0.786862     0.710877     0.643114    0.582491    0.528112    0.479223    0.435189    -1.671140    -1.590690    -1.552650    -1.492980    -1.416260    -1.327380    -1.222630    -1.102010    -0.968614    -0.823015   -0.670971   -0.518560   -0.373804   -0.246228  -0.143859  -0.071366  -0.028519 -0.008556 -0.001749 -2.144240e-04 -1.393220e-05 -1.922970e-09 -7.982890e-16 -3.658610e-19
  -332.0         X  1.624450e-18  1.487360e-18  1.361840e-18  1.246910e-18  1.141680e-18     2.022870     1.756880     1.544740     1.369400     1.220800     1.092780     0.981241     0.883258     0.796644     0.719706     0.651094    0.589713    0.534653    0.485155    0.440571    -1.692270    -1.610790    -1.572260    -1.511830    -1.434130    -1.344110    -1.238020    -1.115860    -0.980765    -0.833319   -0.679351   -0.525019   -0.378445   -0.249275  -0.145632  -0.072242  -0.028868 -0.008660 -0.001770 -2.170150e-04 -1.410000e-05 -1.946050e-09 -8.078590e-16 -3.702470e-19
  -330.0         X  1.644000e-18  1.505260e-18  1.378230e-18  1.261920e-18  1.155420e-18     2.048420     1.779030     1.564170     1.386600     1.236110     1.106470     0.993517     0.894295     0.806588     0.728681     0.659206    0.597053    0.541303    0.491184    0.446042    -1.713760    -1.631230    -1.592200    -1.530990    -1.452290    -1.361120    -1.253670    -1.129940    -0.993119    -0.843794   -0.687871   -0.531585   -0.383163   -0.252372  -0.147435  -0.073133  -0.029222 -0.008766 -0.001792 -2.196470e-04 -1.427050e-05 -1.969490e-09 -8.175820e-16 -3.747030e-19
