Name:C X_Dim:75 Y_Dim:150 Conductance:10000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40         41         42         43
  -380.0         X   0.017167   0.017143   0.017118   0.017094   0.017070     1.659150     1.656470     1.653790     1.651110     1.648440     1.645780     1.643130     1.640490     1.637860     1.635240     1.632620     1.630020     1.627420     1.624830     1.622250   -0.022468   -0.022436   -0.022420   -0.022393   -0.022355   -0.022306   -0.022242   -0.022156   -0.022044   -0.021897   -0.021704   -0.021453   -0.021128   -0.020709   -0.020174   -0.019494   -0.018647   -0.017613   -0.016377   -0.014944   -0.013364  -0.009760  -0.006492  -0.005432
  -378.0         X   0.017365   0.017340   0.017316   0.017291   0.017267     1.678220     1.675510     1.672790     1.670080     1.667380     1.664690     1.662010     1.659340     1.656680     1.654030     1.651380     1.648750     1.646120     1.643500     1.640890   -0.022732   -0.022700   -0.022683   -0.022656   -0.022617   -0.022568   -0.022503   -0.022416   -0.022303   -0.022154   -0.021959   -0.021705   -0.021376   -0.020952   -0.020411   -0.019723   -0.018866   -0.017819   -0.016569   -0.015120   -0.013521  -0.009875  -0.006568  -0.005495
  -376.0         X   0.017566   0.017541   0.017516   0.017491   0.017466     1.697580     1.694840     1.692090     1.689350     1.686620     1.683900     1.681190     1.678480     1.675790     1.673100     1.670430     1.667760     1.665100     1.662460     1.659820   -0.023001   -0.022968   -0.022951   -0.022923   -0.022884   -0.022835   -0.022769   -0.022681   -0.022566   -0.022416   -0.022218   -0.021962   -0.021628   -0.021199   -0.020652   -0.019956   -0.019089   -0.018030   -0.016765   -0.015298   -0.013680  -0.009991  -0.006645  -0.005560
  -374.0         X   0.017770   0.017745   0.017720   0.017694   0.017669     1.717250     1.714470     1.711690     1.708910     1.706150     1.703400     1.700650     1.697920     1.695190     1.692480     1.689770     1.687070     1.684380     1.681700     1.679030   -0.023273   -0.023240   -0.023223   -0.023195   -0.023156   -0.023105   -0.023038   -0.022950   -0.022834   -0.022681   -0.022482   -0.022222   -0.021884   -0.021451   -0.020896   -0.020192   -0.019315   -0.018243   -0.016963   -0.015479   -0.013842  -0.010109  -0.006723  -0.005625
  -372.0         X   0.017977   0.017952   0.017926   0.017901   0.017875     1.737210     1.734400     1.731590     1.728780     1.725990     1.723200     1.720420     1.717660     1.714900     1.712150     1.709410     1.706680     1.703960     1.701250     1.698550   -0.023550   -0.023516   -0.023499   -0.023471   -0.023431   -0.023380   -0.023312   -0.023223   -0.023105   -0.022951   -0.022749   -0.022486   -0.022145   -0.021706   -0.021145   -0.020432   -0.019544   -0.018460   -0.017164   -0.015662   -0.014006  -0.010228  -0.006802  -0.005691
  -370.0         X   0.018188   0.018162   0.018136   0.018110   0.018084     1.757490     1.754640     1.751790     1.748960     1.746130     1.743310     1.740500     1.737700     1.734910     1.732130     1.729360     1.726600     1.723840     1.721100     1.718360   -0.023831   -0.023797   -0.023780   -0.023751   -0.023711   -0.023659   -0.023591   -0.023500   -0.023381   -0.023225   -0.023021   -0.022755   -0.022409   -0.021965   -0.021397   -0.020676   -0.019778   -0.018680   -0.017369   -0.015849   -0.014173  -0.010350  -0.006883  -0.005758
  -368.0         X   0.018402   0.018375   0.018349   0.018323   0.018297     1.778080     1.775200     1.772320     1.769450     1.766580     1.763730     1.760890     1.758060     1.755230     1.752420     1.749620     1.746820     1.744030     1.741260     1.738490   -0.024117   -0.024083   -0.024065   -0.024036   -0.023995   -0.023943   -0.023874   -0.023782   -0.023662   -0.023503   -0.023297   -0.023027   -0.022678   -0.022228   -0.021654   -0.020924   -0.020015   -0.018904   -0.017577   -0.016039   -0.014343  -0.010474  -0.006965  -0.005827
  -366.0         X   0.018619   0.018592   0.018566   0.018539   0.018513     1.798990     1.796080     1.793160     1.790260     1.787360     1.784480     1.781600     1.778730     1.775880     1.773030     1.770190     1.767360     1.764540     1.761730     1.758930   -0.024408   -0.024373   -0.024355   -0.024325   -0.024284   -0.024231   -0.024161   -0.024068   -0.023947   -0.023786   -0.023577   -0.023305   -0.022951   -0.022496   -0.021914   -0.021176   -0.020255   -0.019131   -0.017789   -0.016232   -0.014515  -0.010599  -0.007048  -0.005896
  -364.0         X   0.018839   0.018812   0.018786   0.018759   0.018732     1.820240     1.817290     1.814340     1.811400     1.808470     1.805550     1.802630     1.799730     1.796840     1.793960     1.791090     1.788230     1.785370     1.782530     1.779700   -0.024703   -0.024667   -0.024649   -0.024619   -0.024578   -0.024524   -0.024453   -0.024359   -0.024236   -0.024074   -0.023862   -0.023586   -0.023228   -0.022768   -0.022179   -0.021432   -0.020500   -0.019362   -0.018003   -0.016428   -0.014690  -0.010727  -0.007132  -0.005967
  -362.0         X   0.019063   0.019036   0.019009   0.018982   0.018955     1.841810     1.838830     1.835850     1.832870     1.829900     1.826950     1.824000     1.821070     1.818140     1.815220     1.812320     1.809420     1.806530     1.803650     1.800790   -0.025003   -0.024967   -0.024949   -0.024918   -0.024876   -0.024822   -0.024750   -0.024655   -0.024530   -0.024366   -0.024152   -0.023873   -0.023510   -0.023044   -0.022448   -0.021692   -0.020749   -0.019597   -0.018222   -0.016627   -0.014868  -0.010856  -0.007218  -0.006039
